session_id,user_id,assessment_type_id,started_at,completed_at,session_status,difficulty_level,device_type,consent_id
SES00000056,USR000009,AT001,2026-01-21T09:55:00,2026-01-21T09:55:41,completed,3,mobile,CON00000029
SES00000057,USR000009,AT005,2026-01-27T08:02:00,2026-01-27T08:03:08,completed,2,mobile,CON00000029
SES00000058,USR000009,AT004,2026-04-02T05:35:00,2026-04-02T05:35:59,completed,1,mobile,CON00000029
SES00000059,USR000009,AT001,2026-08-04T04:48:00,2026-08-04T04:49:05,completed,3,mobile,CON00000029
SES00000060,USR000011,AT002,2026-03-14T17:35:00,2026-03-14T17:36:30,completed,1,mobile,CON00000035
SES00000061,USR000011,AT003,2026-03-25T02:55:00,2026-03-25T02:56:03,completed,2,tablet,CON00000035
SES00000062,USR000011,AT002,2026-05-01T00:54:00,2026-05-01T00:55:10,completed,3,mobile,CON00000035
SES00000063,USR000011,AT005,2026-05-11T15:59:00,2026-05-11T16:00:00,completed,2,mobile,CON00000035
SES00000064,USR000011,AT001,2026-06-01T02:56:00,2026-06-01T02:56:53,completed,2,mobile,CON00000035
SES00000065,USR000011,AT001,2026-06-06T18:36:00,2026-06-06T18:37:18,completed,4,mobile,CON00000035
SES00000066,USR000011,AT003,2026-07-06T16:13:00,2026-07-06T16:13:57,completed,2,desktop,CON00000035
SES00000067,USR000011,AT004,2026-09-13T15:23:00,,interrupted,1,mobile,CON00000035
SES00000068,USR000012,AT005,2025-10-23T02:00:00,2025-10-23T02:01:15,completed,2,mobile,CON00000038
SES00000069,USR000012,AT005,2025-10-24T04:44:00,2025-10-24T04:44:44,completed,2,mobile,CON00000038
SES00000070,USR000012,AT002,2026-01-05T01:39:00,2026-01-05T01:39:45,completed,2,mobile,CON00000038
SES00000071,USR000012,AT003,2026-03-25T20:19:00,2026-03-25T20:20:25,completed,1,mobile,CON00000038
SES00000072,USR000012,AT003,2026-04-08T00:21:00,2026-04-08T00:21:53,completed,1,mobile,CON00000038
SES00000073,USR000012,AT001,2026-08-22T05:30:00,2026-08-22T05:31:07,completed,1,mobile,CON00000038
SES00000074,USR000013,AT004,2026-01-30T04:06:00,,interrupted,2,mobile,CON00000043
SES00000075,USR000013,AT001,2026-02-08T06:19:00,2026-02-08T06:20:15,completed,4,desktop,CON00000043
SES00000076,USR000013,AT003,2026-02-09T04:31:00,2026-02-09T04:31:47,completed,4,mobile,CON00000043
SES00000077,USR000013,AT001,2026-03-05T02:38:00,2026-03-05T02:39:14,completed,3,mobile,CON00000043
SES00000078,USR000013,AT003,2026-03-09T23:38:00,,interrupted,1,desktop,CON00000043
SES00000079,USR000013,AT005,2026-03-15T06:57:00,2026-03-15T06:57:51,completed,2,mobile,CON00000043
SES00000080,USR000013,AT005,2026-04-23T06:19:00,2026-04-23T06:19:56,completed,1,mobile,CON00000043
SES00000081,USR000013,AT002,2026-07-21T01:27:00,2026-07-21T01:27:50,completed,3,mobile,CON00000043
SES00000082,USR000013,AT002,2026-08-22T05:43:00,2026-08-22T05:44:24,completed,2,mobile,CON00000043
SES00000083,USR000015,AT003,2025-12-10T10:44:00,2025-12-10T10:44:40,completed,3,mobile,CON00000049
SES00000084,USR000015,AT004,2026-03-02T05:31:00,2026-03-02T05:32:07,completed,2,mobile,CON00000049
SES00000085,USR000015,AT005,2026-04-03T23:43:00,2026-04-03T23:44:12,completed,1,desktop,CON00000049
SES00000086,USR000015,AT005,2026-05-09T01:31:00,2026-05-09T01:32:04,completed,4,mobile,CON00000049
SES00000087,USR000015,AT001,2026-07-06T03:02:00,,abandoned,1,mobile,CON00000049
SES00000088,USR000017,AT003,2026-01-26T12:06:00,2026-01-26T12:06:52,completed,3,mobile,CON00000054
SES00000089,USR000017,AT001,2026-03-02T02:22:00,2026-03-02T02:23:13,completed,1,desktop,CON00000054
SES00000090,USR000017,AT003,2026-07-18T14:15:00,2026-07-18T14:16:15,completed,2,mobile,CON00000054
SES00000091,USR000017,AT005,2026-07-27T12:25:00,2026-07-27T12:25:49,completed,1,mobile,CON00000054
SES00000092,USR000017,AT001,2026-08-04T13:58:00,2026-08-04T13:59:02,completed,3,mobile,CON00000054
SES00000093,USR000017,AT005,2026-08-21T02:53:00,2026-08-21T02:53:50,completed,4,mobile,CON00000054
SES00000094,USR000018,AT005,2026-02-19T03:55:00,2026-02-19T03:55:59,completed,4,tablet,CON00000058
SES00000095,USR000018,AT004,2026-03-07T01:09:00,2026-03-07T01:10:03,completed,1,mobile,CON00000058
SES00000096,USR000018,AT002,2026-03-12T07:53:00,2026-03-12T07:54:00,completed,2,mobile,CON00000058
SES00000097,USR000018,AT003,2026-04-18T07:13:00,2026-04-18T07:14:05,completed,4,desktop,CON00000058
SES00000098,USR000018,AT003,2026-04-20T09:12:00,2026-04-20T09:13:07,completed,3,mobile,CON00000058
SES00000099,USR000018,AT004,2026-06-04T08:08:00,2026-06-04T08:08:41,completed,1,mobile,CON00000058
SES00000100,USR000018,AT004,2026-07-27T23:04:00,2026-07-27T23:05:01,completed,1,mobile,CON00000058
SES00000101,USR000018,AT001,2026-08-16T06:39:00,,abandoned,3,mobile,CON00000058
SES00000102,USR000018,AT004,2026-08-28T21:45:00,2026-08-28T21:46:20,completed,1,mobile,CON00000058
SES00000103,USR000019,AT002,2026-01-25T06:56:00,2026-01-25T06:56:51,completed,3,mobile,CON00000061
SES00000104,USR000019,AT003,2026-03-13T04:12:00,2026-03-13T04:12:43,completed,2,mobile,CON00000061
SES00000105,USR000019,AT001,2026-07-06T14:52:00,2026-07-06T14:53:11,completed,4,mobile,CON00000061
SES00000106,USR000019,AT002,2026-07-24T05:59:00,2026-07-24T06:00:09,completed,4,mobile,CON00000061
SES00000107,USR000019,AT001,2026-08-10T12:12:00,,abandoned,2,tablet,CON00000061
SES00000108,USR000019,AT005,2026-09-05T03:16:00,2026-09-05T03:17:08,completed,2,tablet,CON00000061
SES00000109,USR000021,AT005,2025-12-05T07:17:00,2025-12-05T07:17:49,completed,2,mobile,CON00000067
SES00000110,USR000021,AT001,2025-12-19T17:17:00,2025-12-19T17:18:19,completed,2,mobile,CON00000067
SES00000111,USR000021,AT005,2026-03-14T14:05:00,2026-03-14T14:05:46,completed,4,mobile,CON00000067
SES00000112,USR000021,AT001,2026-04-09T17:58:00,2026-04-09T17:59:22,completed,2,desktop,CON00000067
SES00000113,USR000021,AT003,2026-04-23T09:01:00,,abandoned,1,mobile,CON00000067
SES00000114,USR000021,AT001,2026-08-14T08:34:00,2026-08-14T08:34:48,completed,1,mobile,CON00000067
SES00000115,USR000022,AT001,2026-03-02T23:49:00,2026-03-02T23:50:29,completed,4,mobile,CON00000070
SES00000116,USR000022,AT003,2026-03-31T23:34:00,2026-03-31T23:34:40,completed,2,mobile,CON00000070
SES00000117,USR000022,AT002,2026-06-16T23:43:00,2026-06-16T23:43:47,completed,3,mobile,CON00000070
SES00000118,USR000022,AT002,2026-06-22T15:42:00,2026-06-22T15:43:23,completed,2,mobile,CON00000070
SES00000119,USR000022,AT003,2026-07-18T13:57:00,2026-07-18T13:57:41,completed,2,desktop,CON00000070
SES00000120,USR000022,AT004,2026-08-05T20:40:00,2026-08-05T20:41:31,completed,2,desktop,CON00000070
SES00000121,USR000022,AT002,2026-09-01T19:38:00,2026-09-01T19:38:49,completed,4,mobile,CON00000070
SES00000122,USR000022,AT003,2026-09-10T22:02:00,2026-09-10T22:02:56,completed,3,mobile,CON00000070
SES00000123,USR000023,AT001,2026-04-22T13:02:00,2026-04-22T13:02:57,completed,3,mobile,CON00000075
SES00000124,USR000023,AT005,2026-07-19T20:20:00,2026-07-19T20:21:12,completed,2,mobile,CON00000075
SES00000125,USR000023,AT003,2026-07-21T14:09:00,,abandoned,2,tablet,CON00000075
SES00000126,USR000023,AT001,2026-08-13T00:45:00,2026-08-13T00:45:54,completed,1,tablet,CON00000075
SES00000127,USR000023,AT002,2026-08-19T15:41:00,2026-08-19T15:41:52,completed,3,mobile,CON00000075
SES00000128,USR000024,AT005,2025-12-16T09:13:00,2025-12-16T09:14:12,completed,2,mobile,CON00000078
SES00000129,USR000024,AT003,2026-03-02T06:31:00,2026-03-02T06:32:06,completed,3,mobile,CON00000078
SES00000130,USR000024,AT005,2026-03-11T05:30:00,2026-03-11T05:31:32,completed,2,mobile,CON00000078
SES00000131,USR000024,AT002,2026-06-07T11:17:00,2026-06-07T11:17:55,completed,4,mobile,CON00000078
SES00000132,USR000024,AT002,2026-07-25T03:30:00,2026-07-25T03:30:59,completed,1,tablet,CON00000078
SES00000133,USR000024,AT001,2026-08-03T15:03:00,2026-08-03T15:04:00,completed,2,mobile,CON00000078
SES00000134,USR000024,AT001,2026-08-28T09:41:00,2026-08-28T09:42:01,completed,2,mobile,CON00000078
SES00000135,USR000024,AT001,2026-09-08T11:47:00,2026-09-08T11:47:49,completed,4,mobile,CON00000078
SES00000136,USR000025,AT003,2026-01-14T12:14:00,2026-01-14T12:15:06,completed,2,mobile,CON00000081
SES00000137,USR000025,AT004,2026-02-05T16:21:00,2026-02-05T16:21:54,completed,3,mobile,CON00000081
SES00000138,USR000025,AT001,2026-03-10T17:22:00,2026-03-10T17:23:03,completed,1,mobile,CON00000081
SES00000139,USR000025,AT004,2026-04-13T19:32:00,2026-04-13T19:33:21,completed,4,mobile,CON00000081
SES00000140,USR000026,AT003,2026-02-18T03:01:00,,abandoned,2,mobile,CON00000085
SES00000141,USR000026,AT003,2026-03-13T22:09:00,,interrupted,3,desktop,CON00000085
SES00000142,USR000026,AT003,2026-03-14T15:27:00,,abandoned,1,tablet,CON00000085
SES00000143,USR000026,AT005,2026-03-17T01:30:00,2026-03-17T01:31:05,completed,3,mobile,CON00000085
SES00000144,USR000026,AT005,2026-04-29T03:44:00,2026-04-29T03:44:51,completed,4,desktop,CON00000085
SES00000145,USR000026,AT004,2026-05-03T22:24:00,2026-05-03T22:25:16,completed,1,mobile,CON00000085
SES00000146,USR000026,AT004,2026-05-08T19:04:00,2026-05-08T19:05:18,completed,1,mobile,CON00000085
SES00000147,USR000026,AT002,2026-06-05T18:48:00,2026-06-05T18:49:19,completed,2,tablet,CON00000085
SES00000148,USR000026,AT003,2026-08-10T03:27:00,2026-08-10T03:27:41,completed,1,mobile,CON00000085
SES00000149,USR000028,AT003,2026-04-06T05:52:00,2026-04-06T05:53:00,completed,1,mobile,CON00000092
SES00000150,USR000028,AT005,2026-04-10T07:18:00,2026-04-10T07:18:37,completed,3,mobile,CON00000092
SES00000151,USR000028,AT005,2026-04-23T01:07:00,2026-04-23T01:07:46,completed,2,mobile,CON00000092
SES00000152,USR000028,AT001,2026-09-03T12:33:00,2026-09-03T12:34:19,completed,4,tablet,CON00000092
SES00000153,USR000029,AT005,2025-12-07T06:26:00,2025-12-07T06:26:44,completed,1,tablet,CON00000096
SES00000154,USR000029,AT004,2025-12-19T14:07:00,2025-12-19T14:07:35,completed,2,mobile,CON00000096
SES00000155,USR000029,AT004,2026-01-23T15:47:00,2026-01-23T15:47:44,completed,4,desktop,CON00000096
SES00000156,USR000029,AT002,2026-02-04T14:40:00,2026-02-04T14:41:36,completed,2,mobile,CON00000096
SES00000157,USR000030,AT003,2025-10-12T12:37:00,2025-10-12T12:37:50,completed,2,mobile,CON00000099
SES00000158,USR000030,AT002,2025-10-29T10:23:00,2025-10-29T10:23:59,completed,4,mobile,CON00000099
SES00000159,USR000030,AT003,2025-11-16T13:47:00,2025-11-16T13:47:56,completed,4,desktop,CON00000099
SES00000160,USR000030,AT004,2026-02-03T18:01:00,2026-02-03T18:01:52,completed,2,mobile,CON00000099
SES00000161,USR000030,AT001,2026-02-25T12:45:00,2026-02-25T12:45:48,completed,2,desktop,CON00000099
SES00000162,USR000030,AT002,2026-05-02T07:03:00,2026-05-02T07:03:47,completed,4,mobile,CON00000099
SES00000163,USR000030,AT001,2026-05-04T18:01:00,2026-05-04T18:01:54,completed,4,tablet,CON00000099
SES00000164,USR000030,AT003,2026-08-15T10:24:00,2026-08-15T10:24:59,completed,3,mobile,CON00000099
SES00000165,USR000031,AT004,2026-01-04T10:16:00,2026-01-04T10:16:49,completed,1,mobile,CON00000102
SES00000166,USR000031,AT003,2026-01-20T05:11:00,,abandoned,3,desktop,CON00000102
SES00000167,USR000031,AT002,2026-02-27T05:08:00,2026-02-27T05:09:14,completed,4,desktop,CON00000102
SES00000168,USR000031,AT003,2026-03-02T14:58:00,2026-03-02T14:58:54,completed,2,tablet,CON00000102
SES00000169,USR000031,AT005,2026-03-15T15:02:00,2026-03-15T15:02:52,completed,3,mobile,CON00000102
SES00000170,USR000031,AT002,2026-08-21T08:04:00,2026-08-21T08:04:48,completed,2,mobile,CON00000102
SES00000171,USR000032,AT002,2025-11-18T05:29:00,2025-11-18T05:30:18,completed,1,mobile,CON00000106
SES00000172,USR000032,AT002,2026-02-09T10:47:00,,abandoned,1,mobile,CON00000106
SES00000173,USR000032,AT005,2026-02-20T11:02:00,2026-02-20T11:03:07,completed,4,mobile,CON00000106
SES00000174,USR000032,AT003,2026-04-16T00:43:00,2026-04-16T00:44:20,completed,4,desktop,CON00000106
SES00000175,USR000032,AT005,2026-04-27T00:50:00,2026-04-27T00:50:57,completed,1,mobile,CON00000106
SES00000176,USR000032,AT003,2026-07-25T07:40:00,2026-07-25T07:41:33,completed,3,mobile,CON00000106
SES00000177,USR000032,AT002,2026-08-04T00:18:00,2026-08-04T00:18:45,completed,3,mobile,CON00000106
SES00000178,USR000032,AT005,2026-08-24T04:02:00,2026-08-24T04:03:01,completed,1,mobile,CON00000106
SES00000179,USR000033,AT001,2025-10-16T13:23:00,,abandoned,4,mobile,CON00000109
SES00000180,USR000033,AT004,2025-11-07T17:33:00,2025-11-07T17:34:02,completed,3,mobile,CON00000109
SES00000181,USR000033,AT004,2025-11-20T14:43:00,2025-11-20T14:43:36,completed,2,desktop,CON00000109
SES00000182,USR000033,AT004,2025-12-04T15:49:00,2025-12-04T15:49:47,completed,3,mobile,CON00000109
SES00000183,USR000033,AT001,2026-01-07T19:57:00,,abandoned,1,tablet,CON00000109
SES00000184,USR000033,AT004,2026-05-14T14:13:00,2026-05-14T14:14:11,completed,2,desktop,CON00000109
SES00000185,USR000033,AT005,2026-06-27T11:30:00,2026-06-27T11:31:31,completed,2,mobile,CON00000109
SES00000186,USR000033,AT002,2026-07-11T16:24:00,2026-07-11T16:25:12,completed,3,mobile,CON00000109
SES00000187,USR000034,AT001,2025-10-25T14:11:00,2025-10-25T14:12:06,completed,2,desktop,CON00000113
SES00000188,USR000034,AT003,2025-11-14T23:15:00,2025-11-14T23:15:59,completed,3,mobile,CON00000113
SES00000189,USR000034,AT001,2025-12-14T18:15:00,2025-12-14T18:15:58,completed,1,mobile,CON00000113
SES00000190,USR000034,AT004,2026-02-03T14:36:00,2026-02-03T14:36:45,completed,3,mobile,CON00000113
SES00000191,USR000034,AT001,2026-04-29T00:17:00,2026-04-29T00:17:49,completed,4,tablet,CON00000113
SES00000192,USR000034,AT002,2026-05-22T14:54:00,,interrupted,1,mobile,CON00000113
SES00000193,USR000034,AT001,2026-07-13T02:51:00,2026-07-13T02:52:11,completed,4,mobile,CON00000113
SES00000194,USR000034,AT001,2026-07-23T22:22:00,2026-07-23T22:22:51,completed,3,mobile,CON00000113
SES00000195,USR000034,AT003,2026-08-14T23:03:00,2026-08-14T23:03:44,completed,4,desktop,CON00000113
SES00000196,USR000035,AT004,2025-11-20T05:33:00,,interrupted,4,mobile,CON00000117
SES00000197,USR000035,AT002,2025-12-03T06:55:00,2025-12-03T06:55:58,completed,2,desktop,CON00000117
SES00000198,USR000035,AT002,2026-03-15T06:35:00,2026-03-15T06:36:02,completed,3,tablet,CON00000117
SES00000199,USR000035,AT003,2026-04-10T23:20:00,,interrupted,4,mobile,CON00000117
SES00000200,USR000035,AT005,2026-06-09T22:57:00,2026-06-09T22:58:01,completed,2,tablet,CON00000117
SES00000201,USR000035,AT003,2026-08-25T07:24:00,2026-08-25T07:24:33,completed,2,mobile,CON00000117
SES00000202,USR000036,AT001,2025-12-07T11:06:00,2025-12-07T11:06:33,completed,4,mobile,CON00000120
SES00000203,USR000036,AT004,2026-03-09T11:17:00,2026-03-09T11:17:48,completed,4,mobile,CON00000120
SES00000204,USR000036,AT004,2026-04-30T09:09:00,2026-04-30T09:10:07,completed,1,mobile,CON00000120
SES00000205,USR000036,AT003,2026-06-14T06:46:00,2026-06-14T06:46:31,completed,1,tablet,CON00000120
SES00000206,USR000036,AT002,2026-07-15T11:45:00,2026-07-15T11:45:50,completed,3,mobile,CON00000120
SES00000207,USR000036,AT001,2026-08-22T08:44:00,2026-08-22T08:44:32,completed,1,mobile,CON00000120
SES00000208,USR000037,AT001,2026-03-01T00:36:00,2026-03-01T00:36:51,completed,3,desktop,CON00000124
SES00000209,USR000037,AT003,2026-04-03T19:43:00,2026-04-03T19:44:01,completed,3,tablet,CON00000124
SES00000210,USR000037,AT002,2026-05-22T23:38:00,2026-05-22T23:38:48,completed,2,mobile,CON00000124
SES00000211,USR000037,AT003,2026-06-22T02:27:00,2026-06-22T02:28:02,completed,3,desktop,CON00000124
SES00000212,USR000037,AT001,2026-07-03T20:10:00,,abandoned,3,mobile,CON00000124
SES00000213,USR000037,AT001,2026-07-27T02:20:00,2026-07-27T02:21:20,completed,1,mobile,CON00000124
SES00000214,USR000037,AT004,2026-08-21T05:09:00,2026-08-21T05:09:49,completed,3,mobile,CON00000124
SES00000215,USR000037,AT005,2026-09-06T00:17:00,,abandoned,4,mobile,CON00000124
SES00000216,USR000038,AT004,2025-12-23T16:15:00,,abandoned,3,tablet,CON00000128
SES00000217,USR000038,AT002,2026-02-02T19:16:00,2026-02-02T19:16:45,completed,2,mobile,CON00000128
SES00000218,USR000038,AT003,2026-08-04T20:22:00,,interrupted,1,mobile,CON00000128
SES00000219,USR000038,AT003,2026-08-28T12:09:00,,abandoned,2,tablet,CON00000128
SES00000220,USR000039,AT005,2026-02-16T18:41:00,2026-02-16T18:42:01,completed,1,mobile,CON00000132
SES00000221,USR000039,AT005,2026-02-21T22:47:00,2026-02-21T22:48:09,completed,4,mobile,CON00000132
SES00000222,USR000039,AT002,2026-05-22T16:27:00,2026-05-22T16:27:34,completed,3,mobile,CON00000132
SES00000223,USR000039,AT004,2026-06-30T13:12:00,2026-06-30T13:12:37,completed,4,tablet,CON00000132
SES00000224,USR000039,AT003,2026-07-22T11:24:00,,abandoned,1,mobile,CON00000132
SES00000225,USR000041,AT004,2026-02-22T05:04:00,2026-02-22T05:04:47,completed,2,mobile,CON00000138
SES00000226,USR000041,AT004,2026-03-23T20:56:00,2026-03-23T20:57:26,completed,1,mobile,CON00000138
SES00000227,USR000041,AT002,2026-05-05T02:41:00,2026-05-05T02:42:02,completed,1,mobile,CON00000138
SES00000228,USR000041,AT004,2026-05-06T04:01:00,2026-05-06T04:02:05,completed,3,mobile,CON00000138
SES00000229,USR000041,AT002,2026-06-16T02:41:00,2026-06-16T02:42:16,completed,3,tablet,CON00000138
SES00000230,USR000041,AT003,2026-06-21T23:51:00,,abandoned,4,mobile,CON00000138
SES00000231,USR000041,AT002,2026-07-17T00:32:00,2026-07-17T00:32:49,completed,4,desktop,CON00000138
SES00000232,USR000041,AT003,2026-07-22T00:49:00,,abandoned,2,tablet,CON00000138
SES00000233,USR000041,AT001,2026-08-20T02:12:00,2026-08-20T02:13:26,completed,2,mobile,CON00000138
SES00000234,USR000042,AT004,2026-02-22T23:35:00,2026-02-22T23:36:10,completed,1,mobile,CON00000141
SES00000235,USR000042,AT002,2026-05-06T22:51:00,2026-05-06T22:52:04,completed,3,mobile,CON00000141
SES00000236,USR000042,AT001,2026-06-20T23:35:00,2026-06-20T23:36:13,completed,2,mobile,CON00000141
SES00000237,USR000042,AT004,2026-08-13T00:24:00,2026-08-13T00:24:32,completed,1,mobile,CON00000141
SES00000238,USR000043,AT002,2025-12-14T19:06:00,2025-12-14T19:06:39,completed,4,mobile,CON00000145
SES00000239,USR000043,AT005,2026-01-21T23:16:00,2026-01-21T23:16:46,completed,2,desktop,CON00000145
SES00000240,USR000043,AT001,2026-01-26T01:30:00,2026-01-26T01:31:19,completed,3,mobile,CON00000145
SES00000241,USR000043,AT001,2026-01-28T14:35:00,2026-01-28T14:36:34,completed,2,desktop,CON00000145
SES00000242,USR000043,AT004,2026-04-01T20:57:00,2026-04-01T20:58:24,completed,1,tablet,CON00000145
SES00000243,USR000043,AT003,2026-04-13T15:16:00,2026-04-13T15:16:57,completed,1,mobile,CON00000145
SES00000244,USR000043,AT001,2026-06-21T18:53:00,,abandoned,4,mobile,CON00000145
SES00000245,USR000043,AT002,2026-06-26T02:59:00,2026-06-26T02:59:49,completed,4,mobile,CON00000145
SES00000246,USR000044,AT005,2026-01-21T08:00:00,2026-01-21T08:01:00,completed,4,mobile,CON00000149
SES00000247,USR000044,AT002,2026-01-29T08:12:00,2026-01-29T08:13:20,completed,3,mobile,CON00000149
SES00000248,USR000044,AT004,2026-04-04T09:28:00,2026-04-04T09:29:11,completed,4,mobile,CON00000149
SES00000249,USR000044,AT005,2026-04-14T15:04:00,2026-04-14T15:04:53,completed,1,mobile,CON00000149
SES00000250,USR000044,AT004,2026-05-28T08:00:00,2026-05-28T08:00:43,completed,3,mobile,CON00000149
SES00000251,USR000044,AT003,2026-08-04T07:41:00,2026-08-04T07:42:06,completed,3,tablet,CON00000149
SES00000252,USR000044,AT004,2026-08-12T14:00:00,2026-08-12T14:00:37,completed,3,mobile,CON00000149
SES00000253,USR000044,AT002,2026-08-26T08:44:00,2026-08-26T08:44:56,completed,1,mobile,CON00000149
SES00000254,USR000045,AT005,2025-11-24T08:56:00,2025-11-24T08:57:14,completed,1,mobile,CON00000153
