enrollment_id,user_id,product_code,enrollment_status,enrolled_at,discontinued_at
ENR00000196,USR000155,MINDGUARD,active,2026-01-02T18:00:00,
ENR00000197,USR000155,HEALTH_RESERVE,active,2026-01-11T19:00:00,
ENR00000198,USR000156,MINDGUARD,active,2025-11-10T23:00:00,
ENR00000199,USR000157,MINDGUARD,active,2025-11-23T20:00:00,
ENR00000200,USR000158,MINDGUARD,active,2025-10-21T20:00:00,
ENR00000201,USR000159,MINDGUARD,active,2025-10-19T19:00:00,
ENR00000202,USR000160,MINDGUARD,active,2025-10-04T00:00:00,
ENR00000203,USR000161,HEALTH_RESERVE,active,2025-09-25T19:00:00,
ENR00000204,USR000162,MINDGUARD,active,2026-01-30T19:00:00,
ENR00000205,USR000163,MINDGUARD,active,2026-01-22T17:00:00,
ENR00000206,USR000164,MINDGUARD,active,2025-11-24T11:00:00,
ENR00000207,USR000165,MINDGUARD,active,2026-01-23T02:00:00,
ENR00000208,USR000165,HEALTH_RESERVE,active,2026-02-01T07:00:00,
ENR00000209,USR000166,MINDGUARD,active,2025-10-03T13:00:00,
ENR00000210,USR000167,MINDGUARD,active,2026-01-29T01:00:00,
ENR00000211,USR000168,MINDGUARD,active,2026-01-17T03:00:00,
ENR00000212,USR000168,HEALTH_RESERVE,active,2026-01-24T21:00:00,
ENR00000213,USR000169,MINDGUARD,active,2025-12-09T12:00:00,
ENR00000214,USR000170,MINDGUARD,active,2025-10-14T03:00:00,
ENR00000215,USR000171,MINDGUARD,active,2025-11-23T13:00:00,
ENR00000216,USR000172,MINDGUARD,active,2026-02-19T02:00:00,
ENR00000217,USR000172,HEALTH_RESERVE,active,2026-02-07T22:00:00,
ENR00000218,USR000173,MINDGUARD,active,2025-11-20T03:00:00,
ENR00000219,USR000174,MINDGUARD,active,2025-12-03T21:00:00,
ENR00000220,USR000174,HEALTH_RESERVE,active,2025-11-30T00:00:00,
ENR00000221,USR000175,MINDGUARD,active,2025-10-14T21:00:00,
ENR00000222,USR000176,MINDGUARD,active,2026-01-01T17:00:00,
ENR00000223,USR000177,MINDGUARD,active,2025-09-25T15:00:00,
ENR00000224,USR000178,MINDGUARD,active,2025-10-27T11:00:00,
ENR00000225,USR000178,HEALTH_RESERVE,active,2025-10-30T08:00:00,
ENR00000226,USR000179,MINDGUARD,active,2025-10-17T17:00:00,
ENR00000227,USR000180,MINDGUARD,active,2025-11-09T17:00:00,
ENR00000228,USR000181,HEALTH_RESERVE,active,2026-01-29T20:00:00,
ENR00000229,USR000182,MINDGUARD,active,2026-01-02T02:00:00,
ENR00000230,USR000183,MINDGUARD,active,2025-12-04T18:00:00,
ENR00000231,USR000184,MINDGUARD,active,2025-11-08T18:00:00,
ENR00000232,USR000185,MINDGUARD,active,2025-10-18T01:00:00,
ENR00000233,USR000185,HEALTH_RESERVE,active,2025-10-14T03:00:00,
ENR00000234,USR000186,MINDGUARD,active,2025-12-09T07:00:00,
ENR00000235,USR000187,MINDGUARD,active,2025-10-25T21:00:00,
ENR00000236,USR000188,HEALTH_RESERVE,active,2025-12-22T11:00:00,
ENR00000237,USR000189,MINDGUARD,active,2025-11-25T20:00:00,
ENR00000238,USR000189,HEALTH_RESERVE,active,2025-11-29T18:00:00,
ENR00000239,USR000190,MINDGUARD,active,2026-01-19T11:00:00,
ENR00000240,USR000190,HEALTH_RESERVE,active,2026-01-25T03:00:00,
ENR00000241,USR000191,MINDGUARD,active,2026-01-05T16:00:00,
ENR00000242,USR000191,HEALTH_RESERVE,active,2026-01-13T19:00:00,
ENR00000243,USR000192,MINDGUARD,active,2025-12-09T13:00:00,
ENR00000244,USR000192,HEALTH_RESERVE,active,2025-12-09T13:00:00,
ENR00000245,USR000193,MINDGUARD,active,2025-09-27T03:00:00,
ENR00000246,USR000194,MINDGUARD,active,2025-12-14T18:00:00,
ENR00000247,USR000195,MINDGUARD,active,2025-10-18T03:00:00,
ENR00000248,USR000196,MINDGUARD,active,2025-10-29T02:00:00,
ENR00000249,USR000197,MINDGUARD,active,2025-10-03T12:00:00,
ENR00000250,USR000198,HEALTH_RESERVE,active,2026-01-18T22:00:00,
ENR00000251,USR000199,HEALTH_RESERVE,active,2025-10-03T13:00:00,
ENR00000252,USR000200,MINDGUARD,active,2025-10-28T22:00:00,
ENR00000253,USR000200,HEALTH_RESERVE,active,2025-10-24T06:00:00,
ENR00000254,USR000201,HEALTH_RESERVE,active,2026-02-08T08:00:00,
ENR00000255,USR000202,HEALTH_RESERVE,active,2025-11-20T03:00:00,
ENR00000256,USR000203,MINDGUARD,active,2025-12-28T20:00:00,
ENR00000257,USR000204,MINDGUARD,active,2026-01-31T14:00:00,
ENR00000258,USR000205,MINDGUARD,active,2025-11-12T04:00:00,
ENR00000259,USR000206,HEALTH_RESERVE,active,2025-10-03T05:00:00,
ENR00000260,USR000207,MINDGUARD,active,2025-11-01T22:00:00,
ENR00000261,USR000208,MINDGUARD,active,2025-10-03T07:00:00,
ENR00000262,USR000209,MINDGUARD,active,2025-12-22T18:00:00,
ENR00000263,USR000209,HEALTH_RESERVE,active,2025-12-25T23:00:00,
ENR00000264,USR000210,HEALTH_RESERVE,active,2025-10-08T17:00:00,
ENR00000265,USR000211,MINDGUARD,active,2025-09-29T15:00:00,
ENR00000266,USR000212,MINDGUARD,active,2025-12-06T01:00:00,
ENR00000267,USR000213,MINDGUARD,active,2025-11-21T03:00:00,
ENR00000268,USR000214,MINDGUARD,active,2025-11-26T03:00:00,
ENR00000269,USR000215,MINDGUARD,active,2025-12-11T23:00:00,
ENR00000270,USR000216,MINDGUARD,active,2026-02-01T19:00:00,
ENR00000271,USR000217,MINDGUARD,active,2025-12-23T08:00:00,
ENR00000272,USR000218,MINDGUARD,active,2026-01-22T06:00:00,
ENR00000273,USR000219,MINDGUARD,active,2025-10-12T22:00:00,
ENR00000274,USR000219,HEALTH_RESERVE,active,2025-10-11T01:00:00,
ENR00000275,USR000220,MINDGUARD,active,2026-02-06T11:00:00,
ENR00000276,USR000221,MINDGUARD,active,2025-10-16T08:00:00,
ENR00000277,USR000222,MINDGUARD,active,2025-11-13T01:00:00,
ENR00000278,USR000222,HEALTH_RESERVE,active,2025-11-15T05:00:00,
ENR00000279,USR000223,MINDGUARD,active,2025-10-29T06:00:00,
ENR00000280,USR000224,HEALTH_RESERVE,active,2025-09-29T07:00:00,
ENR00000281,USR000225,HEALTH_RESERVE,active,2026-01-18T17:00:00,
ENR00000282,USR000226,MINDGUARD,active,2026-02-25T13:00:00,
ENR00000283,USR000227,MINDGUARD,active,2026-01-09T12:00:00,
ENR00000284,USR000228,MINDGUARD,active,2025-11-26T21:00:00,
ENR00000285,USR000228,HEALTH_RESERVE,active,2025-12-05T22:00:00,
ENR00000286,USR000229,HEALTH_RESERVE,active,2025-11-08T11:00:00,
ENR00000287,USR000230,MINDGUARD,active,2025-10-10T00:00:00,
ENR00000288,USR000230,HEALTH_RESERVE,active,2025-09-30T04:00:00,
ENR00000289,USR000231,MINDGUARD,active,2026-01-05T02:00:00,
ENR00000290,USR000232,HEALTH_RESERVE,active,2025-10-08T21:00:00,
ENR00000291,USR000233,MINDGUARD,active,2025-11-22T15:00:00,
ENR00000292,USR000233,HEALTH_RESERVE,active,2025-11-23T14:00:00,
ENR00000293,USR000234,MINDGUARD,active,2026-02-12T13:00:00,
ENR00000294,USR000234,HEALTH_RESERVE,active,2026-02-02T06:00:00,
ENR00000295,USR000235,MINDGUARD,active,2025-12-10T22:00:00,
ENR00000296,USR000236,MINDGUARD,active,2026-01-26T13:00:00,
ENR00000297,USR000237,MINDGUARD,active,2025-11-29T05:00:00,
ENR00000298,USR000238,MINDGUARD,active,2025-11-08T12:00:00,
ENR00000299,USR000239,MINDGUARD,active,2026-02-07T03:00:00,
ENR00000300,USR000240,MINDGUARD,active,2026-02-08T17:00:00,
ENR00000301,USR000241,HEALTH_RESERVE,active,2025-12-21T18:00:00,
ENR00000302,USR000242,MINDGUARD,active,2025-10-18T15:00:00,
ENR00000303,USR000242,HEALTH_RESERVE,active,2025-10-11T17:00:00,
ENR00000304,USR000243,MINDGUARD,active,2025-10-14T17:00:00,
ENR00000305,USR000244,MINDGUARD,active,2026-02-12T09:00:00,
ENR00000306,USR000244,HEALTH_RESERVE,active,2026-02-04T09:00:00,
ENR00000307,USR000245,HEALTH_RESERVE,active,2025-11-16T00:00:00,
ENR00000308,USR000246,MINDGUARD,active,2026-01-05T14:00:00,
ENR00000309,USR000247,MINDGUARD,active,2026-01-21T00:00:00,
ENR00000310,USR000248,MINDGUARD,active,2025-11-06T18:00:00,
ENR00000311,USR000248,HEALTH_RESERVE,active,2025-11-03T13:00:00,
ENR00000312,USR000249,MINDGUARD,active,2025-11-14T11:00:00,
ENR00000313,USR000250,MINDGUARD,active,2025-12-03T14:00:00,
ENR00000314,USR000250,HEALTH_RESERVE,active,2025-11-29T18:00:00,
ENR00000315,USR000251,MINDGUARD,active,2025-11-28T17:00:00,
ENR00000316,USR000252,MINDGUARD,active,2025-12-07T21:00:00,
ENR00000317,USR000253,MINDGUARD,active,2026-01-18T20:00:00,
ENR00000318,USR000254,MINDGUARD,active,2025-10-19T17:00:00,
ENR00000319,USR000255,MINDGUARD,active,2025-12-10T17:00:00,
ENR00000320,USR000256,MINDGUARD,active,2025-09-23T21:00:00,
ENR00000321,USR000256,HEALTH_RESERVE,active,2025-09-17T23:00:00,
ENR00000322,USR000257,MINDGUARD,active,2026-01-20T01:00:00,
ENR00000323,USR000258,MINDGUARD,active,2025-10-26T07:00:00,
ENR00000324,USR000259,MINDGUARD,active,2025-11-18T05:00:00,
ENR00000325,USR000260,HEALTH_RESERVE,active,2026-01-30T07:00:00,
ENR00000326,USR000261,MINDGUARD,active,2026-02-13T04:00:00,
ENR00000327,USR000262,HEALTH_RESERVE,active,2025-09-18T14:00:00,
ENR00000328,USR000263,MINDGUARD,active,2025-10-11T04:00:00,
ENR00000329,USR000263,HEALTH_RESERVE,active,2025-10-02T05:00:00,
ENR00000330,USR000264,HEALTH_RESERVE,active,2025-12-12T09:00:00,
ENR00000331,USR000265,MINDGUARD,active,2025-11-16T12:00:00,
ENR00000332,USR000266,MINDGUARD,active,2026-02-11T02:00:00,
ENR00000333,USR000267,MINDGUARD,active,2026-01-13T06:00:00,
ENR00000334,USR000268,MINDGUARD,active,2025-12-31T02:00:00,
ENR00000335,USR000269,MINDGUARD,active,2025-12-30T23:00:00,
ENR00000336,USR000270,HEALTH_RESERVE,active,2025-11-06T15:00:00,
ENR00000337,USR000271,MINDGUARD,active,2026-02-22T20:00:00,
ENR00000338,USR000272,MINDGUARD,active,2025-10-21T14:00:00,
ENR00000339,USR000273,HEALTH_RESERVE,active,2025-10-26T13:00:00,
ENR00000340,USR000274,MINDGUARD,active,2025-11-25T17:00:00,
ENR00000341,USR000275,MINDGUARD,active,2025-12-26T13:00:00,
ENR00000342,USR000275,HEALTH_RESERVE,active,2026-01-05T15:00:00,
ENR00000343,USR000276,MINDGUARD,active,2025-12-12T04:00:00,
ENR00000344,USR000276,HEALTH_RESERVE,active,2025-12-11T08:00:00,
ENR00000345,USR000277,MINDGUARD,active,2025-10-15T16:00:00,
ENR00000346,USR000278,MINDGUARD,active,2025-10-21T17:00:00,
ENR00000347,USR000279,HEALTH_RESERVE,active,2025-12-19T01:00:00,
ENR00000348,USR000280,HEALTH_RESERVE,active,2025-12-05T09:00:00,
ENR00000349,USR000281,MINDGUARD,active,2025-10-01T16:00:00,
ENR00000350,USR000282,MINDGUARD,active,2025-12-22T00:00:00,
ENR00000351,USR000282,HEALTH_RESERVE,active,2025-12-20T23:00:00,
ENR00000352,USR000283,MINDGUARD,active,2026-01-07T19:00:00,
ENR00000353,USR000284,MINDGUARD,active,2025-11-18T17:00:00,
ENR00000354,USR000285,MINDGUARD,active,2026-02-16T10:00:00,
ENR00000355,USR000286,MINDGUARD,active,2026-01-16T05:00:00,
ENR00000356,USR000287,MINDGUARD,active,2026-02-17T19:00:00,
ENR00000357,USR000288,MINDGUARD,active,2025-12-01T16:00:00,
ENR00000358,USR000289,MINDGUARD,active,2025-10-07T08:00:00,
ENR00000359,USR000290,MINDGUARD,active,2025-12-06T05:00:00,
ENR00000360,USR000291,MINDGUARD,active,2025-11-25T20:00:00,
ENR00000361,USR000291,HEALTH_RESERVE,active,2025-11-30T22:00:00,
ENR00000362,USR000292,MINDGUARD,active,2026-02-23T18:00:00,
ENR00000363,USR000293,MINDGUARD,active,2025-12-08T14:00:00,
ENR00000364,USR000294,HEALTH_RESERVE,active,2025-12-26T01:00:00,
ENR00000365,USR000295,MINDGUARD,active,2025-12-22T20:00:00,
ENR00000366,USR000296,HEALTH_RESERVE,active,2026-02-02T22:00:00,
ENR00000367,USR000297,MINDGUARD,active,2025-10-04T16:00:00,
ENR00000368,USR000298,MINDGUARD,active,2025-09-27T06:00:00,
ENR00000369,USR000299,HEALTH_RESERVE,active,2025-11-30T18:00:00,
ENR00000370,USR000300,MINDGUARD,active,2025-12-12T19:00:00,
ENR00000371,USR000301,HEALTH_RESERVE,active,2026-01-21T15:00:00,
ENR00000372,USR000302,MINDGUARD,active,2025-11-05T05:00:00,
