action_id,recommendation_id,user_id,action_type,action_status,action_at
ACT00000155,REC00000220,USR000299,acknowledged,acknowledged,2026-08-29T14:00:00
ACT00000156,REC00000221,USR000301,completed,completed,2026-05-29T18:00:00
ACT00000157,REC00000223,USR000309,viewed,viewed,2026-08-11T08:00:00
ACT00000158,REC00000224,USR000311,viewed,viewed,2026-06-06T00:00:00
ACT00000159,REC00000225,USR000312,acknowledged,acknowledged,2026-09-17T04:00:00
ACT00000160,REC00000226,USR000313,viewed,viewed,2026-05-15T12:00:00
ACT00000161,REC00000228,USR000315,completed,completed,2026-05-02T01:00:00
ACT00000162,REC00000231,USR000317,viewed,viewed,2026-07-04T18:00:00
ACT00000163,REC00000233,USR000321,viewed,viewed,2026-07-11T04:00:00
ACT00000164,REC00000234,USR000322,viewed,viewed,2026-07-25T07:00:00
ACT00000165,REC00000235,USR000323,completed,completed,2026-07-04T07:00:00
ACT00000166,REC00000236,USR000324,viewed,viewed,2026-03-16T23:00:00
ACT00000167,REC00000237,USR000325,completed,completed,2026-07-03T14:00:00
ACT00000168,REC00000238,USR000326,dismissed,dismissed,2026-05-12T21:00:00
ACT00000169,REC00000239,USR000327,completed,completed,2026-05-24T07:00:00
ACT00000170,REC00000241,USR000329,completed,completed,2026-04-18T13:00:00
ACT00000171,REC00000244,USR000332,dismissed,dismissed,2026-07-26T22:00:00
ACT00000172,REC00000245,USR000334,viewed,viewed,2026-02-22T14:00:00
ACT00000173,REC00000246,USR000335,viewed,viewed,2026-04-15T17:00:00
ACT00000174,REC00000247,USR000339,viewed,viewed,2026-04-16T21:00:00
ACT00000175,REC00000249,USR000342,completed,completed,2026-06-17T03:00:00
ACT00000176,REC00000250,USR000342,viewed,viewed,2026-08-09T00:00:00
ACT00000177,REC00000251,USR000343,acknowledged,acknowledged,2026-05-15T14:00:00
ACT00000178,REC00000253,USR000347,completed,completed,2026-03-26T13:00:00
ACT00000179,REC00000254,USR000348,viewed,viewed,2026-02-02T15:00:00
ACT00000180,REC00000255,USR000349,viewed,viewed,2026-07-15T01:00:00
ACT00000181,REC00000256,USR000350,viewed,viewed,2026-08-04T00:00:00
ACT00000182,REC00000257,USR000351,completed,completed,2026-04-07T01:00:00
ACT00000183,REC00000258,USR000353,viewed,viewed,2026-08-07T00:00:00
ACT00000184,REC00000260,USR000356,viewed,viewed,2026-06-09T03:00:00
ACT00000185,REC00000262,USR000358,viewed,viewed,2026-07-30T10:00:00
ACT00000186,REC00000263,USR000359,acknowledged,acknowledged,2026-06-16T00:00:00
ACT00000187,REC00000264,USR000361,acknowledged,acknowledged,2026-07-13T05:00:00
ACT00000188,REC00000266,USR000365,viewed,viewed,2026-06-21T00:00:00
ACT00000189,REC00000267,USR000366,dismissed,dismissed,2026-06-21T22:00:00
ACT00000190,REC00000268,USR000369,viewed,viewed,2026-09-18T08:00:00
ACT00000191,REC00000269,USR000370,viewed,viewed,2026-04-27T08:00:00
ACT00000192,REC00000270,USR000371,completed,completed,2026-08-09T13:00:00
ACT00000193,REC00000271,USR000371,viewed,viewed,2026-07-30T12:00:00
ACT00000194,REC00000273,USR000374,viewed,viewed,2026-07-01T20:00:00
ACT00000195,REC00000275,USR000375,viewed,viewed,2026-05-21T09:00:00
ACT00000196,REC00000278,USR000381,acknowledged,acknowledged,2026-08-01T03:00:00
ACT00000197,REC00000279,USR000382,viewed,viewed,2026-02-10T11:00:00
ACT00000198,REC00000280,USR000385,viewed,viewed,2026-03-26T17:00:00
ACT00000199,REC00000281,USR000387,dismissed,dismissed,2026-08-15T20:00:00
ACT00000200,REC00000282,USR000388,viewed,viewed,2026-04-29T19:00:00
ACT00000201,REC00000283,USR000389,viewed,viewed,2026-03-03T23:00:00
ACT00000202,REC00000284,USR000390,dismissed,dismissed,2026-08-04T03:00:00
ACT00000203,REC00000285,USR000391,completed,completed,2026-07-18T16:00:00
ACT00000204,REC00000286,USR000393,viewed,viewed,2026-09-17T16:00:00
ACT00000205,REC00000287,USR000394,acknowledged,acknowledged,2026-09-15T11:00:00
ACT00000206,REC00000289,USR000395,viewed,viewed,2026-03-06T21:00:00
ACT00000207,REC00000290,USR000396,completed,completed,2026-05-20T07:00:00
ACT00000208,REC00000291,USR000397,viewed,viewed,2026-03-24T11:00:00
ACT00000209,REC00000293,USR000401,completed,completed,2026-09-09T10:00:00
ACT00000210,REC00000294,USR000402,completed,completed,2026-06-09T12:00:00
ACT00000211,REC00000295,USR000403,acknowledged,acknowledged,2026-03-22T15:00:00
ACT00000212,REC00000296,USR000406,viewed,viewed,2026-06-30T20:00:00
ACT00000213,REC00000298,USR000411,dismissed,dismissed,2026-04-25T20:00:00
ACT00000214,REC00000299,USR000412,acknowledged,acknowledged,2026-03-25T16:00:00
ACT00000215,REC00000300,USR000412,acknowledged,acknowledged,2026-08-22T17:00:00
ACT00000216,REC00000301,USR000414,completed,completed,2026-03-19T04:00:00
ACT00000217,REC00000302,USR000416,viewed,viewed,2026-03-05T22:00:00
ACT00000218,REC00000303,USR000418,completed,completed,2026-03-05T12:00:00
ACT00000219,REC00000304,USR000419,acknowledged,acknowledged,2026-07-06T10:00:00
ACT00000220,REC00000305,USR000420,completed,completed,2026-01-23T22:00:00
ACT00000221,REC00000306,USR000421,viewed,viewed,2026-08-08T02:00:00
ACT00000222,REC00000307,USR000423,viewed,viewed,2026-06-01T11:00:00
ACT00000223,REC00000308,USR000425,dismissed,dismissed,2026-02-06T07:00:00
ACT00000224,REC00000309,USR000428,completed,completed,2026-07-26T18:00:00
ACT00000225,REC00000311,USR000430,acknowledged,acknowledged,2026-05-16T22:00:00
ACT00000226,REC00000312,USR000430,viewed,viewed,2026-08-21T15:00:00
ACT00000227,REC00000314,USR000432,completed,completed,2026-09-15T00:00:00
ACT00000228,REC00000315,USR000432,viewed,viewed,2026-09-15T22:00:00
ACT00000229,REC00000316,USR000433,viewed,viewed,2026-07-20T15:00:00
ACT00000230,REC00000317,USR000434,viewed,viewed,2026-05-17T02:00:00
ACT00000231,REC00000318,USR000435,acknowledged,acknowledged,2026-02-17T10:00:00
ACT00000232,REC00000320,USR000443,acknowledged,acknowledged,2026-04-30T00:00:00
ACT00000233,REC00000321,USR000445,viewed,viewed,2026-03-22T00:00:00
ACT00000234,REC00000322,USR000447,viewed,viewed,2026-02-10T16:00:00
ACT00000235,REC00000323,USR000449,viewed,viewed,2026-07-12T07:00:00
ACT00000236,REC00000324,USR000450,completed,completed,2026-03-13T17:00:00
ACT00000237,REC00000325,USR000451,completed,completed,2026-08-01T04:00:00
ACT00000238,REC00000328,USR000458,acknowledged,acknowledged,2026-05-08T13:00:00
ACT00000239,REC00000329,USR000460,dismissed,dismissed,2026-03-18T21:00:00
ACT00000240,REC00000330,USR000461,viewed,viewed,2026-05-30T06:00:00
ACT00000241,REC00000332,USR000465,acknowledged,acknowledged,2026-06-11T14:00:00
ACT00000242,REC00000333,USR000466,acknowledged,acknowledged,2026-07-27T21:00:00
ACT00000243,REC00000334,USR000468,acknowledged,acknowledged,2026-09-15T22:00:00
ACT00000244,REC00000335,USR000469,completed,completed,2026-04-24T09:00:00
ACT00000245,REC00000336,USR000470,acknowledged,acknowledged,2026-06-15T17:00:00
ACT00000246,REC00000337,USR000471,viewed,viewed,2026-04-03T17:00:00
ACT00000247,REC00000338,USR000471,completed,completed,2026-03-25T15:00:00
ACT00000248,REC00000339,USR000472,viewed,viewed,2026-09-15T00:00:00
ACT00000249,REC00000340,USR000473,viewed,viewed,2026-05-31T03:00:00
ACT00000250,REC00000344,USR000477,viewed,viewed,2026-07-15T06:00:00
ACT00000251,REC00000345,USR000478,acknowledged,acknowledged,2026-02-01T06:00:00
ACT00000252,REC00000347,USR000480,dismissed,dismissed,2026-08-03T06:00:00
ACT00000253,REC00000348,USR000481,viewed,viewed,2026-07-30T09:00:00
ACT00000254,REC00000349,USR000482,acknowledged,acknowledged,2026-06-08T11:00:00
ACT00000255,REC00000350,USR000487,viewed,viewed,2026-03-30T14:00:00
ACT00000256,REC00000354,USR000492,completed,completed,2026-09-17T12:00:00
ACT00000257,REC00000356,USR000494,acknowledged,acknowledged,2026-07-12T08:00:00
ACT00000258,REC00000357,USR000496,viewed,viewed,2026-05-31T01:00:00
ACT00000259,REC00000358,USR000497,viewed,viewed,2026-08-07T04:00:00
ACT00000260,REC00000359,USR000500,acknowledged,acknowledged,2026-08-05T23:00:00
ACT00000261,REC00000361,USR000506,viewed,viewed,2026-09-16T19:00:00
ACT00000262,REC00000365,USR000510,viewed,viewed,2026-07-14T03:00:00
ACT00000263,REC00000367,USR000512,viewed,viewed,2026-05-06T16:00:00
ACT00000264,REC00000369,USR000518,completed,completed,2026-07-01T16:00:00
ACT00000265,REC00000370,USR000519,viewed,viewed,2026-03-31T18:00:00
ACT00000266,REC00000372,USR000522,viewed,viewed,2026-04-17T20:00:00
ACT00000267,REC00000373,USR000523,viewed,viewed,2026-05-29T21:00:00
ACT00000268,REC00000375,USR000526,acknowledged,acknowledged,2026-03-22T19:00:00
ACT00000269,REC00000377,USR000528,viewed,viewed,2026-06-07T16:00:00
ACT00000270,REC00000378,USR000529,acknowledged,acknowledged,2026-02-24T20:00:00
ACT00000271,REC00000379,USR000530,viewed,viewed,2026-07-19T06:00:00
ACT00000272,REC00000380,USR000531,completed,completed,2026-09-15T22:00:00
ACT00000273,REC00000381,USR000536,acknowledged,acknowledged,2026-05-20T21:00:00
ACT00000274,REC00000382,USR000537,dismissed,dismissed,2026-05-14T02:00:00
ACT00000275,REC00000384,USR000538,viewed,viewed,2026-05-09T16:00:00
ACT00000276,REC00000388,USR000543,viewed,viewed,2026-09-16T06:00:00
ACT00000277,REC00000391,USR000548,completed,completed,2026-07-20T01:00:00
ACT00000278,REC00000392,USR000549,viewed,viewed,2026-05-31T13:00:00
ACT00000279,REC00000394,USR000552,acknowledged,acknowledged,2026-08-17T13:00:00
ACT00000280,REC00000396,USR000555,viewed,viewed,2026-05-02T16:00:00
ACT00000281,REC00000397,USR000557,viewed,viewed,2026-07-05T20:00:00
ACT00000282,REC00000398,USR000558,dismissed,dismissed,2026-03-05T11:00:00
ACT00000283,REC00000399,USR000559,completed,completed,2026-09-14T23:00:00
ACT00000284,REC00000400,USR000560,viewed,viewed,2026-06-18T15:00:00
ACT00000285,REC00000402,USR000563,completed,completed,2026-08-28T05:00:00
ACT00000286,REC00000403,USR000564,viewed,viewed,2026-03-12T17:00:00
ACT00000287,REC00000404,USR000566,viewed,viewed,2026-03-22T23:00:00
ACT00000288,REC00000407,USR000567,viewed,viewed,2026-03-19T03:00:00
ACT00000289,REC00000409,USR000572,dismissed,dismissed,2026-07-23T16:00:00
ACT00000290,REC00000411,USR000575,viewed,viewed,2026-05-17T00:00:00
ACT00000291,REC00000412,USR000577,dismissed,dismissed,2026-07-07T07:00:00
ACT00000292,REC00000413,USR000578,viewed,viewed,2026-08-21T16:00:00
ACT00000293,REC00000414,USR000579,acknowledged,acknowledged,2026-04-10T10:00:00
ACT00000294,REC00000418,USR000583,completed,completed,2026-07-31T07:00:00
ACT00000295,REC00000419,USR000585,completed,completed,2026-09-15T22:00:00
ACT00000296,REC00000420,USR000590,viewed,viewed,2026-08-20T06:00:00
ACT00000297,REC00000421,USR000591,acknowledged,acknowledged,2026-03-29T00:00:00
ACT00000298,REC00000422,USR000591,acknowledged,acknowledged,2026-06-10T07:00:00
ACT00000299,REC00000423,USR000592,viewed,viewed,2026-03-26T13:00:00
ACT00000300,REC00000425,USR000597,dismissed,dismissed,2026-07-02T05:00:00
ACT00000301,REC00000426,USR000598,completed,completed,2026-03-04T10:00:00
ACT00000302,REC00000427,USR000599,viewed,viewed,2026-09-14T21:00:00
ACT00000303,REC00000428,USR000602,viewed,viewed,2026-04-01T06:00:00
ACT00000304,REC00000429,USR000605,viewed,viewed,2026-09-15T06:00:00
ACT00000305,REC00000430,USR000605,viewed,viewed,2026-08-01T23:00:00
ACT00000306,REC00000431,USR000606,viewed,viewed,2026-08-10T21:00:00
ACT00000307,REC00000432,USR000607,viewed,viewed,2026-06-16T22:00:00
ACT00000308,REC00000433,USR000608,acknowledged,acknowledged,2026-09-16T12:00:00
ACT00000309,REC00000435,USR000610,completed,completed,2026-04-29T05:00:00
ACT00000310,REC00000436,USR000611,viewed,viewed,2026-06-10T19:00:00
ACT00000311,REC00000437,USR000612,dismissed,dismissed,2026-06-25T14:00:00
ACT00000312,REC00000440,USR000615,dismissed,dismissed,2026-06-09T07:00:00
ACT00000313,REC00000441,USR000616,viewed,viewed,2026-09-05T21:00:00
ACT00000314,REC00000442,USR000617,viewed,viewed,2026-06-24T14:00:00
ACT00000315,REC00000443,USR000618,completed,completed,2026-06-07T19:00:00
ACT00000316,REC00000444,USR000620,viewed,viewed,2026-06-14T11:00:00
ACT00000317,REC00000445,USR000620,completed,completed,2026-04-13T15:00:00
ACT00000318,REC00000446,USR000621,acknowledged,acknowledged,2026-03-22T00:00:00
ACT00000319,REC00000447,USR000624,acknowledged,acknowledged,2026-05-12T01:00:00
ACT00000320,REC00000450,USR000633,viewed,viewed,2026-05-04T00:00:00
ACT00000321,REC00000452,USR000635,acknowledged,acknowledged,2026-07-05T08:00:00
ACT00000322,REC00000453,USR000636,viewed,viewed,2026-07-04T10:00:00
ACT00000323,REC00000455,USR000639,acknowledged,acknowledged,2026-03-24T10:00:00
ACT00000324,REC00000457,USR000641,viewed,viewed,2026-07-18T03:00:00
ACT00000325,REC00000458,USR000641,completed,completed,2026-01-13T00:00:00
ACT00000326,REC00000461,USR000645,viewed,viewed,2026-03-01T05:00:00
ACT00000327,REC00000462,USR000647,acknowledged,acknowledged,2026-04-10T20:00:00
ACT00000328,REC00000467,USR000653,viewed,viewed,2026-07-04T16:00:00
ACT00000329,REC00000468,USR000654,viewed,viewed,2026-07-22T03:00:00
ACT00000330,REC00000469,USR000655,acknowledged,acknowledged,2026-05-10T15:00:00
ACT00000331,REC00000470,USR000656,viewed,viewed,2026-05-20T19:00:00
ACT00000332,REC00000471,USR000657,completed,completed,2026-08-08T09:00:00
ACT00000333,REC00000472,USR000662,completed,completed,2026-06-13T00:00:00
ACT00000334,REC00000474,USR000664,completed,completed,2026-09-15T09:00:00
ACT00000335,REC00000475,USR000666,viewed,viewed,2026-09-17T16:00:00
ACT00000336,REC00000476,USR000667,completed,completed,2026-09-18T09:00:00
ACT00000337,REC00000477,USR000667,completed,completed,2026-08-06T20:00:00
ACT00000338,REC00000478,USR000669,viewed,viewed,2026-05-20T04:00:00
ACT00000339,REC00000480,USR000672,dismissed,dismissed,2026-04-12T09:00:00
ACT00000340,REC00000481,USR000673,viewed,viewed,2026-05-20T08:00:00
ACT00000341,REC00000482,USR000677,dismissed,dismissed,2026-07-27T04:00:00
ACT00000342,REC00000483,USR000678,viewed,viewed,2026-07-29T04:00:00
ACT00000343,REC00000484,USR000679,viewed,viewed,2026-05-02T02:00:00
ACT00000344,REC00000485,USR000680,completed,completed,2026-03-25T10:00:00
ACT00000345,REC00000486,USR000681,acknowledged,acknowledged,2026-06-16T01:00:00
ACT00000346,REC00000487,USR000682,viewed,viewed,2026-08-08T04:00:00
ACT00000347,REC00000489,USR000684,viewed,viewed,2026-09-16T20:00:00
ACT00000348,REC00000490,USR000685,acknowledged,acknowledged,2026-03-27T18:00:00
ACT00000349,REC00000491,USR000686,acknowledged,acknowledged,2026-08-12T04:00:00
ACT00000350,REC00000492,USR000687,dismissed,dismissed,2026-05-31T17:00:00
