reserve_assessment_id,user_id,assessed_at,healthcare_coverage_status,estimated_healthcare_exposure,emergency_health_resources,monthly_financial_obligations,number_of_dependants,current_preparedness_amount,preparedness_target,preparedness_gap,preparedness_ratio,reserve_status
HRA00000036,USR000014,2026-06-25T13:00:00,insured,759000,250000,599000,1,639000,556000,0,1.149281,strong
HRA00000037,USR000014,2026-08-17T13:00:00,insured,462000,270000,356000,3,698000,556000,0,1.255396,strong
HRA00000038,USR000016,2025-11-19T12:00:00,partial,156000,477000,669000,3,460000,2238000,1778000,0.205541,low
HRA00000039,USR000016,2026-01-10T12:00:00,uninsured,650000,262000,433000,5,367000,2238000,1871000,0.163986,low
HRA00000040,USR000016,2026-02-24T12:00:00,partial,283000,14000,352000,1,321000,2238000,1917000,0.143432,low
HRA00000041,USR000016,2026-04-14T12:00:00,insured,102000,165000,174000,0,354000,2238000,1884000,0.158177,low
HRA00000042,USR000016,2026-06-06T12:00:00,insured,626000,32000,73000,1,483000,2238000,1755000,0.215818,low
HRA00000043,USR000016,2026-07-30T12:00:00,partial,467000,36000,308000,0,387000,2238000,1851000,0.172922,low
HRA00000044,USR000017,2025-11-29T17:00:00,uninsured,715000,65000,595000,3,290000,2082000,1792000,0.139289,low
HRA00000045,USR000017,2026-01-12T17:00:00,partial,596000,81000,368000,2,334000,2082000,1748000,0.160423,low
HRA00000046,USR000017,2026-03-03T17:00:00,insured,174000,388000,682000,4,444000,2082000,1638000,0.213256,low
HRA00000047,USR000017,2026-04-21T17:00:00,insured,116000,328000,271000,0,454000,2082000,1628000,0.21806,low
HRA00000048,USR000017,2026-06-09T17:00:00,insured,171000,323000,243000,0,543000,2082000,1539000,0.260807,developing
HRA00000049,USR000017,2026-07-31T17:00:00,insured,760000,23000,123000,0,631000,2082000,1451000,0.303074,developing
HRA00000050,USR000020,2026-01-13T12:00:00,insured,681000,439000,322000,1,996000,1077000,81000,0.924791,strong
HRA00000051,USR000020,2026-03-02T12:00:00,partial,280000,113000,120000,1,1045000,1077000,32000,0.970288,strong
HRA00000052,USR000020,2026-04-19T12:00:00,uninsured,269000,260000,399000,3,1118000,1077000,0,1.038069,strong
HRA00000053,USR000020,2026-06-11T12:00:00,partial,135000,344000,80000,4,1227000,1077000,0,1.139276,strong
HRA00000054,USR000020,2026-07-30T12:00:00,uninsured,743000,225000,554000,4,1271000,1077000,0,1.18013,strong
HRA00000055,USR000022,2026-01-05T00:00:00,insured,650000,129000,103000,0,1401000,1951000,550000,0.718093,moderate
HRA00000056,USR000022,2026-02-18T00:00:00,uninsured,249000,179000,464000,2,1305000,1951000,646000,0.668888,moderate
HRA00000057,USR000022,2026-04-12T00:00:00,insured,653000,491000,543000,3,1388000,1951000,563000,0.71143,moderate
HRA00000058,USR000022,2026-05-30T00:00:00,partial,681000,475000,196000,5,1264000,1951000,687000,0.647873,moderate
HRA00000059,USR000022,2026-07-23T00:00:00,uninsured,554000,34000,248000,0,1249000,1951000,702000,0.640185,moderate
HRA00000060,USR000022,2026-09-10T00:00:00,uninsured,205000,212000,629000,4,1285000,1951000,666000,0.658637,moderate
HRA00000061,USR000027,2025-10-16T21:00:00,uninsured,644000,71000,60000,5,1778000,2328000,550000,0.763746,moderate
HRA00000062,USR000027,2025-12-03T21:00:00,partial,547000,288000,558000,2,2134000,2328000,194000,0.916667,strong
HRA00000063,USR000027,2026-01-27T21:00:00,insured,760000,305000,643000,5,2543000,2328000,0,1.092354,strong
HRA00000064,USR000027,2026-03-15T21:00:00,uninsured,275000,5000,116000,4,2956000,2328000,0,1.269759,strong
HRA00000065,USR000027,2026-05-07T21:00:00,partial,192000,280000,320000,5,3523000,2328000,0,1.513316,strong
HRA00000066,USR000027,2026-06-24T21:00:00,partial,65000,452000,508000,3,3782000,2328000,0,1.62457,strong
HRA00000067,USR000027,2026-08-09T21:00:00,insured,388000,195000,60000,1,4077000,2328000,0,1.751289,strong
HRA00000068,USR000028,2026-01-27T19:00:00,uninsured,386000,433000,221000,5,456000,1250000,794000,0.3648,developing
HRA00000069,USR000028,2026-03-19T19:00:00,insured,790000,56000,352000,2,453000,1250000,797000,0.3624,developing
HRA00000070,USR000028,2026-05-06T19:00:00,insured,442000,429000,468000,1,464000,1250000,786000,0.3712,developing
HRA00000071,USR000028,2026-06-26T19:00:00,uninsured,740000,349000,522000,1,499000,1250000,751000,0.3992,developing
HRA00000072,USR000028,2026-08-14T19:00:00,partial,523000,12000,308000,4,553000,1250000,697000,0.4424,developing
HRA00000073,USR000031,2025-10-01T18:00:00,uninsured,293000,366000,400000,3,318000,989000,671000,0.321537,developing
HRA00000074,USR000031,2025-11-19T18:00:00,insured,600000,341000,690000,4,400000,989000,589000,0.404449,developing
HRA00000075,USR000031,2026-01-07T18:00:00,partial,65000,429000,50000,1,497000,989000,492000,0.502528,moderate
HRA00000076,USR000031,2026-02-25T18:00:00,insured,207000,284000,52000,4,537000,989000,452000,0.542973,moderate
HRA00000077,USR000031,2026-04-23T18:00:00,insured,592000,19000,270000,0,665000,989000,324000,0.672396,moderate
HRA00000078,USR000031,2026-06-12T18:00:00,insured,568000,391000,615000,0,776000,989000,213000,0.784631,moderate
HRA00000079,USR000031,2026-07-24T18:00:00,uninsured,189000,492000,626000,1,861000,989000,128000,0.870576,strong
HRA00000080,USR000033,2025-10-09T16:00:00,insured,207000,122000,458000,1,444000,1381000,937000,0.321506,developing
HRA00000081,USR000033,2025-11-28T16:00:00,insured,463000,88000,408000,2,613000,1381000,768000,0.443881,developing
HRA00000082,USR000033,2026-01-21T16:00:00,insured,359000,140000,163000,5,732000,1381000,649000,0.530051,moderate
HRA00000083,USR000033,2026-03-06T16:00:00,insured,574000,61000,150000,3,784000,1381000,597000,0.567705,moderate
HRA00000084,USR000033,2026-04-28T16:00:00,insured,53000,417000,682000,1,869000,1381000,512000,0.629254,moderate
HRA00000085,USR000033,2026-06-13T16:00:00,partial,573000,292000,606000,3,920000,1381000,461000,0.666184,moderate
HRA00000086,USR000033,2026-08-04T16:00:00,partial,568000,370000,132000,0,1114000,1381000,267000,0.806662,moderate
HRA00000087,USR000036,2025-11-15T01:00:00,insured,218000,110000,399000,1,406000,1032000,626000,0.393411,developing
HRA00000088,USR000036,2025-12-30T01:00:00,uninsured,655000,122000,370000,1,446000,1032000,586000,0.432171,developing
HRA00000089,USR000036,2026-02-24T01:00:00,insured,237000,135000,541000,5,553000,1032000,479000,0.535853,moderate
HRA00000090,USR000036,2026-04-10T01:00:00,uninsured,469000,434000,268000,3,579000,1032000,453000,0.561047,moderate
HRA00000091,USR000036,2026-06-04T01:00:00,uninsured,754000,327000,313000,1,615000,1032000,417000,0.59593,moderate
HRA00000092,USR000036,2026-07-25T01:00:00,uninsured,541000,221000,657000,2,669000,1032000,363000,0.648256,moderate
HRA00000093,USR000036,2026-09-05T01:00:00,uninsured,563000,147000,412000,4,714000,1032000,318000,0.69186,moderate
HRA00000094,USR000039,2026-02-21T18:00:00,insured,789000,55000,346000,1,820000,1357000,537000,0.604274,moderate
HRA00000095,USR000039,2026-04-11T18:00:00,partial,565000,417000,429000,1,778000,1357000,579000,0.573324,moderate
HRA00000096,USR000039,2026-06-01T18:00:00,uninsured,684000,356000,349000,5,701000,1357000,656000,0.516581,moderate
HRA00000097,USR000039,2026-07-25T18:00:00,insured,693000,105000,301000,4,757000,1357000,600000,0.557848,moderate
HRA00000098,USR000039,2026-09-05T18:00:00,uninsured,500000,320000,97000,2,731000,1357000,626000,0.538688,moderate
HRA00000099,USR000040,2026-02-07T11:00:00,uninsured,504000,495000,567000,5,772000,1395000,623000,0.553405,moderate
HRA00000100,USR000040,2026-03-29T11:00:00,insured,266000,80000,674000,2,879000,1395000,516000,0.630108,moderate
HRA00000101,USR000040,2026-05-16T11:00:00,partial,310000,295000,355000,4,1106000,1395000,289000,0.792832,moderate
HRA00000102,USR000040,2026-07-03T11:00:00,partial,314000,193000,95000,4,1289000,1395000,106000,0.924014,strong
HRA00000103,USR000040,2026-08-27T11:00:00,uninsured,220000,207000,283000,3,1508000,1395000,0,1.081004,strong
HRA00000104,USR000042,2026-01-25T10:00:00,uninsured,450000,282000,436000,3,709000,1843000,1134000,0.384699,developing
HRA00000105,USR000042,2026-03-16T10:00:00,insured,124000,369000,374000,1,749000,1843000,1094000,0.406403,developing
HRA00000106,USR000042,2026-05-05T10:00:00,uninsured,708000,145000,139000,4,804000,1843000,1039000,0.436245,developing
HRA00000107,USR000042,2026-06-22T10:00:00,partial,574000,441000,654000,0,909000,1843000,934000,0.493218,developing
HRA00000108,USR000042,2026-08-15T10:00:00,uninsured,671000,9000,449000,2,1067000,1843000,776000,0.578947,moderate
HRA00000109,USR000044,2025-12-11T14:00:00,insured,691000,479000,63000,2,110000,946000,836000,0.116279,low
HRA00000110,USR000044,2026-01-26T14:00:00,insured,51000,48000,199000,0,192000,946000,754000,0.20296,low
HRA00000111,USR000044,2026-03-21T14:00:00,insured,683000,225000,591000,2,241000,946000,705000,0.254757,developing
HRA00000112,USR000044,2026-05-13T14:00:00,insured,549000,300000,623000,5,300000,946000,646000,0.317125,developing
HRA00000113,USR000044,2026-06-27T14:00:00,insured,218000,496000,310000,1,361000,946000,585000,0.381607,developing
HRA00000114,USR000044,2026-08-22T14:00:00,uninsured,144000,395000,537000,3,392000,946000,554000,0.414376,developing
HRA00000115,USR000045,2025-11-18T12:00:00,insured,524000,36000,139000,2,167000,626000,459000,0.266773,developing
HRA00000116,USR000045,2026-01-03T12:00:00,uninsured,115000,99000,412000,5,175000,626000,451000,0.279553,developing
HRA00000117,USR000045,2026-02-24T12:00:00,partial,770000,371000,494000,3,231000,626000,395000,0.36901,developing
HRA00000118,USR000045,2026-04-17T12:00:00,uninsured,502000,401000,515000,0,267000,626000,359000,0.426518,developing
HRA00000119,USR000045,2026-05-31T12:00:00,partial,383000,427000,686000,3,357000,626000,269000,0.570288,moderate
HRA00000120,USR000045,2026-07-19T12:00:00,uninsured,586000,4000,613000,3,351000,626000,275000,0.560703,moderate
HRA00000121,USR000048,2025-10-30T20:00:00,partial,87000,164000,322000,3,51000,224000,173000,0.227679,low
HRA00000122,USR000048,2025-12-13T20:00:00,insured,618000,355000,380000,0,63000,224000,161000,0.28125,developing
HRA00000123,USR000048,2026-02-01T20:00:00,insured,220000,75000,276000,5,80000,224000,144000,0.357143,developing
HRA00000124,USR000048,2026-03-28T20:00:00,uninsured,122000,273000,195000,5,83000,224000,141000,0.370536,developing
HRA00000125,USR000048,2026-05-19T20:00:00,uninsured,723000,312000,640000,5,91000,224000,133000,0.40625,developing
HRA00000126,USR000048,2026-07-06T20:00:00,insured,539000,260000,168000,4,111000,224000,113000,0.495536,developing
HRA00000127,USR000048,2026-08-28T20:00:00,insured,54000,338000,302000,4,114000,224000,110000,0.508929,moderate
HRA00000128,USR000049,2026-01-09T05:00:00,partial,598000,464000,79000,1,1307000,1527000,220000,0.855927,strong
HRA00000129,USR000049,2026-02-28T05:00:00,insured,141000,196000,565000,5,1309000,1527000,218000,0.857236,strong
HRA00000130,USR000049,2026-04-22T05:00:00,partial,783000,236000,254000,1,1320000,1527000,207000,0.86444,strong
HRA00000131,USR000049,2026-06-09T05:00:00,partial,474000,241000,217000,2,1225000,1527000,302000,0.802227,moderate
HRA00000132,USR000049,2026-08-01T05:00:00,insured,438000,113000,531000,0,1198000,1527000,329000,0.784545,moderate
HRA00000133,USR000053,2025-12-16T19:00:00,uninsured,241000,107000,171000,5,435000,587000,152000,0.741056,moderate
HRA00000134,USR000053,2026-02-01T19:00:00,uninsured,769000,172000,443000,2,422000,587000,165000,0.71891,moderate
HRA00000135,USR000053,2026-03-25T19:00:00,insured,324000,500000,169000,1,434000,587000,153000,0.739353,moderate
HRA00000136,USR000053,2026-05-16T19:00:00,partial,600000,167000,396000,1,481000,587000,106000,0.819421,moderate
HRA00000137,USR000053,2026-07-08T19:00:00,partial,187000,203000,234000,4,482000,587000,105000,0.821124,moderate
HRA00000138,USR000053,2026-08-26T19:00:00,insured,620000,264000,175000,2,507000,587000,80000,0.863714,strong
HRA00000139,USR000055,2025-10-08T22:00:00,uninsured,91000,158000,445000,5,0,1389000,1389000,0.0,low
HRA00000140,USR000055,2025-11-23T22:00:00,insured,229000,100000,231000,1,0,1389000,1389000,0.0,low
HRA00000141,USR000055,2026-01-17T22:00:00,insured,430000,396000,58000,2,0,1389000,1389000,0.0,low
HRA00000142,USR000055,2026-03-09T22:00:00,insured,98000,416000,113000,5,0,1389000,1389000,0.0,low
HRA00000143,USR000055,2026-04-29T22:00:00,partial,180000,413000,87000,3,0,1389000,1389000,0.0,low
HRA00000144,USR000055,2026-06-17T22:00:00,insured,708000,139000,623000,0,0,1389000,1389000,0.0,low
HRA00000145,USR000055,2026-07-30T22:00:00,partial,167000,427000,298000,2,0,1389000,1389000,0.0,low
HRA00000146,USR000058,2025-11-23T10:00:00,insured,678000,312000,633000,1,932000,1411000,479000,0.660524,moderate
HRA00000147,USR000058,2026-01-13T10:00:00,insured,420000,386000,74000,4,1091000,1411000,320000,0.77321,moderate
HRA00000148,USR000058,2026-03-03T10:00:00,partial,107000,320000,289000,4,1180000,1411000,231000,0.836286,moderate
HRA00000149,USR000058,2026-04-21T10:00:00,insured,438000,38000,390000,3,1354000,1411000,57000,0.959603,strong
HRA00000150,USR000058,2026-06-07T10:00:00,uninsured,225000,174000,369000,0,1502000,1411000,0,1.064493,strong
HRA00000151,USR000058,2026-08-02T10:00:00,uninsured,512000,347000,535000,2,1682000,1411000,0,1.192062,strong
HRA00000152,USR000061,2026-01-06T05:00:00,insured,73000,155000,675000,5,764000,972000,208000,0.786008,moderate
HRA00000153,USR000061,2026-02-23T05:00:00,insured,293000,436000,344000,3,992000,972000,0,1.020576,strong
HRA00000154,USR000061,2026-04-08T05:00:00,insured,588000,199000,201000,5,1153000,972000,0,1.186214,strong
HRA00000155,USR000061,2026-06-05T05:00:00,insured,762000,123000,170000,5,1309000,972000,0,1.346708,strong
HRA00000156,USR000061,2026-07-17T05:00:00,insured,162000,264000,268000,1,1447000,972000,0,1.488683,strong
HRA00000157,USR000061,2026-09-08T05:00:00,uninsured,103000,312000,204000,5,1613000,972000,0,1.659465,strong
HRA00000158,USR000062,2025-10-14T04:00:00,uninsured,704000,23000,392000,5,1939000,1903000,0,1.018917,strong
HRA00000159,USR000062,2025-12-02T04:00:00,partial,124000,3000,467000,4,2281000,1903000,0,1.198634,strong
HRA00000160,USR000062,2026-01-20T04:00:00,partial,558000,260000,682000,2,2726000,1903000,0,1.432475,strong
HRA00000161,USR000062,2026-03-14T04:00:00,insured,430000,298000,507000,4,3037000,1903000,0,1.595901,strong
HRA00000162,USR000062,2026-05-01T04:00:00,insured,259000,483000,341000,4,3309000,1903000,0,1.738833,strong
HRA00000163,USR000062,2026-06-18T04:00:00,uninsured,460000,348000,134000,1,3580000,1903000,0,1.88124,strong
HRA00000164,USR000062,2026-08-05T04:00:00,partial,160000,348000,153000,5,3844000,1903000,0,2.019968,strong
HRA00000165,USR000063,2026-01-06T14:00:00,insured,571000,22000,205000,3,541000,1699000,1158000,0.318423,developing
HRA00000166,USR000063,2026-03-01T14:00:00,insured,73000,363000,198000,1,583000,1699000,1116000,0.343143,developing
HRA00000167,USR000063,2026-04-19T14:00:00,insured,799000,422000,269000,4,640000,1699000,1059000,0.376692,developing
HRA00000168,USR000063,2026-06-09T14:00:00,uninsured,654000,384000,294000,0,679000,1699000,1020000,0.399647,developing
HRA00000169,USR000063,2026-07-24T14:00:00,insured,620000,93000,283000,3,745000,1699000,954000,0.438493,developing
HRA00000170,USR000063,2026-09-12T14:00:00,insured,781000,483000,569000,5,773000,1699000,926000,0.454974,developing
HRA00000171,USR000065,2026-01-06T10:00:00,uninsured,279000,309000,564000,3,1188000,1654000,466000,0.718259,moderate
HRA00000172,USR000065,2026-02-22T10:00:00,uninsured,638000,391000,414000,1,1285000,1654000,369000,0.776904,moderate
HRA00000173,USR000065,2026-04-12T10:00:00,partial,748000,340000,599000,3,1494000,1654000,160000,0.903265,strong
HRA00000174,USR000065,2026-06-03T10:00:00,partial,617000,186000,220000,0,1601000,1654000,53000,0.967956,strong
HRA00000175,USR000065,2026-07-27T10:00:00,insured,262000,110000,646000,4,1627000,1654000,27000,0.983676,strong
HRA00000176,USR000065,2026-09-10T10:00:00,insured,603000,338000,227000,2,1723000,1654000,0,1.041717,strong
HRA00000177,USR000067,2026-01-01T03:00:00,partial,307000,99000,122000,0,626000,1706000,1080000,0.36694,developing
HRA00000178,USR000067,2026-02-16T03:00:00,partial,276000,355000,535000,2,573000,1706000,1133000,0.335873,developing
HRA00000179,USR000067,2026-04-05T03:00:00,insured,504000,17000,477000,4,555000,1706000,1151000,0.325322,developing
HRA00000180,USR000067,2026-06-01T03:00:00,insured,289000,79000,507000,1,568000,1706000,1138000,0.332943,developing
HRA00000181,USR000067,2026-07-20T03:00:00,partial,289000,161000,58000,2,590000,1706000,1116000,0.345838,developing
HRA00000182,USR000067,2026-09-05T03:00:00,partial,209000,130000,597000,4,572000,1706000,1134000,0.335287,developing
HRA00000183,USR000072,2025-10-25T22:00:00,partial,504000,468000,237000,0,600000,1799000,1199000,0.333519,developing
HRA00000184,USR000072,2025-12-15T22:00:00,partial,593000,104000,196000,5,705000,1799000,1094000,0.391884,developing
HRA00000185,USR000072,2026-01-30T22:00:00,uninsured,239000,64000,490000,2,698000,1799000,1101000,0.387993,developing
HRA00000186,USR000072,2026-03-25T22:00:00,uninsured,479000,184000,375000,1,889000,1799000,910000,0.494163,developing
HRA00000187,USR000072,2026-05-15T22:00:00,insured,428000,47000,523000,2,944000,1799000,855000,0.524736,moderate
HRA00000188,USR000072,2026-07-06T22:00:00,insured,542000,360000,515000,4,1141000,1799000,658000,0.634241,moderate
HRA00000189,USR000072,2026-08-17T22:00:00,uninsured,335000,325000,251000,1,1280000,1799000,519000,0.711506,moderate
HRA00000190,USR000073,2025-12-02T00:00:00,insured,197000,389000,656000,2,89000,236000,147000,0.377119,developing
HRA00000191,USR000073,2026-01-18T00:00:00,insured,701000,366000,535000,3,86000,236000,150000,0.364407,developing
HRA00000192,USR000073,2026-03-11T00:00:00,partial,741000,21000,264000,5,79000,236000,157000,0.334746,developing
HRA00000193,USR000073,2026-04-28T00:00:00,insured,138000,76000,135000,5,89000,236000,147000,0.377119,developing
HRA00000194,USR000073,2026-06-21T00:00:00,insured,796000,222000,196000,3,84000,236000,152000,0.355932,developing
HRA00000195,USR000073,2026-08-05T00:00:00,partial,552000,97000,81000,2,81000,236000,155000,0.34322,developing
HRA00000196,USR000076,2025-12-18T04:00:00,insured,156000,449000,638000,0,719000,1098000,379000,0.654827,moderate
HRA00000197,USR000076,2026-02-10T04:00:00,partial,763000,495000,53000,3,705000,1098000,393000,0.642077,moderate
HRA00000198,USR000076,2026-03-27T04:00:00,partial,446000,278000,235000,5,767000,1098000,331000,0.698543,moderate
HRA00000199,USR000076,2026-05-13T04:00:00,partial,576000,483000,381000,3,760000,1098000,338000,0.692168,moderate
HRA00000200,USR000076,2026-07-07T04:00:00,insured,462000,97000,251000,3,779000,1098000,319000,0.709472,moderate
HRA00000201,USR000076,2026-08-29T04:00:00,partial,129000,168000,95000,1,779000,1098000,319000,0.709472,moderate
HRA00000202,USR000077,2025-12-03T15:00:00,insured,106000,67000,577000,4,212000,935000,723000,0.226738,low
HRA00000203,USR000077,2026-01-20T15:00:00,partial,666000,495000,619000,2,344000,935000,591000,0.367914,developing
HRA00000204,USR000077,2026-03-14T15:00:00,insured,347000,436000,461000,4,449000,935000,486000,0.480214,developing
HRA00000205,USR000077,2026-04-30T15:00:00,partial,144000,383000,122000,0,599000,935000,336000,0.640642,moderate
HRA00000206,USR000077,2026-06-21T15:00:00,insured,487000,467000,110000,4,687000,935000,248000,0.734759,moderate
HRA00000207,USR000077,2026-08-11T15:00:00,partial,233000,121000,478000,3,841000,935000,94000,0.899465,strong
HRA00000208,USR000081,2025-11-25T08:00:00,uninsured,365000,48000,104000,3,507000,525000,18000,0.965714,strong
HRA00000209,USR000081,2026-01-11T08:00:00,insured,311000,94000,228000,2,511000,525000,14000,0.973333,strong
HRA00000210,USR000081,2026-03-03T08:00:00,insured,75000,127000,318000,3,540000,525000,0,1.028571,strong
HRA00000211,USR000081,2026-04-18T08:00:00,partial,687000,375000,521000,5,536000,525000,0,1.020952,strong
HRA00000212,USR000081,2026-06-08T08:00:00,partial,244000,72000,506000,0,604000,525000,0,1.150476,strong
HRA00000213,USR000081,2026-07-26T08:00:00,insured,246000,9000,247000,2,637000,525000,0,1.213333,strong
HRA00000214,USR000084,2025-12-23T10:00:00,insured,725000,25000,519000,0,1077000,1672000,595000,0.644139,moderate
HRA00000215,USR000084,2026-02-11T10:00:00,uninsured,444000,144000,110000,1,891000,1672000,781000,0.532895,moderate
HRA00000216,USR000084,2026-03-30T10:00:00,insured,95000,399000,54000,5,888000,1672000,784000,0.5311,moderate
HRA00000217,USR000084,2026-05-26T10:00:00,partial,235000,313000,283000,4,799000,1672000,873000,0.477871,developing
HRA00000218,USR000084,2026-07-10T10:00:00,uninsured,795000,18000,435000,4,598000,1672000,1074000,0.357656,developing
HRA00000219,USR000084,2026-09-03T10:00:00,insured,380000,450000,365000,0,514000,1672000,1158000,0.307416,developing
HRA00000220,USR000085,2025-12-18T12:00:00,uninsured,381000,109000,595000,3,700000,2381000,1681000,0.293994,developing
HRA00000221,USR000085,2026-02-03T12:00:00,insured,357000,213000,353000,5,849000,2381000,1532000,0.356573,developing
HRA00000222,USR000085,2026-03-23T12:00:00,partial,210000,145000,602000,1,1108000,2381000,1273000,0.465351,developing
HRA00000223,USR000085,2026-05-15T12:00:00,uninsured,659000,367000,217000,3,1237000,2381000,1144000,0.51953,moderate
HRA00000224,USR000085,2026-07-07T12:00:00,uninsured,319000,129000,443000,2,1472000,2381000,909000,0.618228,moderate
HRA00000225,USR000085,2026-08-20T12:00:00,uninsured,724000,376000,389000,5,1584000,2381000,797000,0.665267,moderate
HRA00000226,USR000088,2026-01-05T19:00:00,uninsured,681000,26000,325000,0,516000,692000,176000,0.745665,moderate
HRA00000227,USR000088,2026-02-20T19:00:00,partial,386000,85000,532000,0,517000,692000,175000,0.74711,moderate
HRA00000228,USR000088,2026-04-11T19:00:00,insured,585000,15000,228000,4,529000,692000,163000,0.764451,moderate
HRA00000229,USR000088,2026-06-04T19:00:00,insured,595000,348000,613000,1,523000,692000,169000,0.75578,moderate
HRA00000230,USR000088,2026-07-18T19:00:00,uninsured,150000,46000,212000,0,494000,692000,198000,0.713873,moderate
HRA00000231,USR000088,2026-09-05T19:00:00,insured,375000,495000,411000,2,494000,692000,198000,0.713873,moderate
HRA00000232,USR000089,2025-10-01T00:00:00,insured,283000,413000,206000,5,692000,779000,87000,0.888318,strong
HRA00000233,USR000089,2025-11-22T00:00:00,partial,613000,429000,603000,4,671000,779000,108000,0.861361,strong
HRA00000234,USR000089,2026-01-10T00:00:00,partial,227000,483000,187000,4,696000,779000,83000,0.893453,strong
HRA00000235,USR000089,2026-03-01T00:00:00,insured,797000,15000,99000,3,761000,779000,18000,0.976893,strong
HRA00000236,USR000089,2026-04-22T00:00:00,partial,172000,65000,476000,0,756000,779000,23000,0.970475,strong
HRA00000237,USR000089,2026-06-10T00:00:00,uninsured,486000,35000,207000,0,790000,779000,0,1.014121,strong
HRA00000238,USR000089,2026-07-25T00:00:00,insured,767000,192000,700000,5,837000,779000,0,1.074454,strong
