consent_history_id,consent_id,user_id,previous_status,new_status,changed_at,reason
CH00000047,CON00007624,USR002358,granted,withdrawn,2026-04-10T06:26:00,User withdrawal
CH00000048,CON00007789,USR002410,granted,withdrawn,2026-06-05T15:33:00,User withdrawal
CH00000049,CON00007790,USR002410,granted,withdrawn,2026-05-04T15:32:00,User withdrawal
CH00000050,CON00008020,USR002479,granted,withdrawn,2026-06-27T08:33:00,User withdrawal
CH00000051,CON00008030,USR002482,granted,withdrawn,2026-04-22T00:57:00,User withdrawal
CH00000052,CON00008569,USR002649,granted,withdrawn,2026-07-23T20:53:00,User withdrawal
CH00000053,CON00008570,USR002649,granted,withdrawn,2026-05-07T21:24:00,User withdrawal
CH00000054,CON00008681,USR002683,granted,withdrawn,2026-07-20T12:25:00,User withdrawal
CH00000055,CON00008682,USR002683,granted,withdrawn,2026-07-18T12:00:00,User withdrawal
CH00000056,CON00008704,USR002690,granted,withdrawn,2026-06-18T19:29:00,User withdrawal
CH00000057,CON00008848,USR002732,granted,withdrawn,2026-09-06T02:49:00,User withdrawal
CH00000058,CON00008849,USR002732,granted,withdrawn,2026-07-31T02:09:00,User withdrawal
CH00000059,CON00008889,USR002744,granted,withdrawn,2026-08-23T08:35:00,User withdrawal
CH00000060,CON00008890,USR002744,granted,withdrawn,2026-07-19T09:14:00,User withdrawal
CH00000061,CON00008934,USR002758,granted,withdrawn,2026-04-18T15:40:00,User withdrawal
CH00000062,CON00009009,USR002781,granted,withdrawn,2026-03-31T11:22:00,User withdrawal
CH00000063,CON00009251,USR002859,granted,withdrawn,2026-07-25T15:18:00,User withdrawal
CH00000064,CON00009252,USR002859,granted,withdrawn,2026-06-21T15:27:00,User withdrawal
CH00000065,CON00009501,USR002934,granted,withdrawn,2026-05-05T23:37:00,User withdrawal
CH00000066,CON00009502,USR002934,granted,withdrawn,2026-07-18T23:09:00,User withdrawal
CH00000067,CON00009537,USR002946,granted,withdrawn,2026-06-21T16:13:00,User withdrawal
CH00000068,CON00009538,USR002946,granted,withdrawn,2026-08-04T16:38:00,User withdrawal
CH00000069,CON00010205,USR003151,granted,withdrawn,2026-03-08T08:02:00,User withdrawal
CH00000070,CON00010206,USR003151,granted,withdrawn,2026-04-03T08:15:00,User withdrawal
CH00000071,CON00010707,USR003306,granted,withdrawn,2026-04-21T18:41:00,User withdrawal
CH00000072,CON00010914,USR003367,granted,withdrawn,2026-06-16T13:28:00,User withdrawal
CH00000073,CON00010915,USR003367,granted,withdrawn,2026-05-22T13:58:00,User withdrawal
CH00000074,CON00010986,USR003389,granted,withdrawn,2026-07-08T22:26:00,User withdrawal
CH00000075,CON00010987,USR003389,granted,withdrawn,2026-07-18T22:20:00,User withdrawal
CH00000076,CON00011030,USR003404,granted,withdrawn,2026-06-26T23:37:00,User withdrawal
CH00000077,CON00011031,USR003404,granted,withdrawn,2026-08-14T23:59:00,User withdrawal
CH00000078,CON00011535,USR003562,granted,withdrawn,2026-07-16T07:16:00,User withdrawal
CH00000079,CON00011750,USR003627,granted,withdrawn,2026-06-11T15:56:00,User withdrawal
CH00000080,CON00011751,USR003627,granted,withdrawn,2026-05-13T15:59:00,User withdrawal
CH00000081,CON00011980,USR003699,granted,withdrawn,2026-06-23T02:31:00,User withdrawal
CH00000082,CON00011984,USR003700,granted,withdrawn,2026-07-31T04:18:00,User withdrawal
CH00000083,CON00012184,USR003763,granted,withdrawn,2026-08-19T23:39:00,User withdrawal
CH00000084,CON00012187,USR003764,granted,withdrawn,2026-07-15T18:26:00,User withdrawal
CH00000085,CON00012487,USR003858,granted,withdrawn,2026-08-30T20:22:00,User withdrawal
CH00000086,CON00012751,USR003941,granted,withdrawn,2026-06-15T03:01:00,User withdrawal
CH00000087,CON00012752,USR003941,granted,withdrawn,2026-07-01T03:27:00,User withdrawal
CH00000088,CON00012770,USR003947,granted,withdrawn,2026-03-23T19:59:00,User withdrawal
CH00000089,CON00012907,USR003989,granted,withdrawn,2026-05-21T06:13:00,User withdrawal
CH00000090,CON00012908,USR003989,granted,withdrawn,2026-06-25T06:01:00,User withdrawal
CH00000091,CON00012920,USR003993,granted,withdrawn,2026-09-03T16:21:00,User withdrawal
CH00000092,CON00012921,USR003993,granted,withdrawn,2026-07-25T15:44:00,User withdrawal
CH00000093,CON00012945,USR004001,granted,withdrawn,2026-09-11T12:56:00,User withdrawal
CH00000094,CON00012946,USR004001,granted,withdrawn,2026-09-12T12:07:00,User withdrawal
CH00000095,CON00013221,USR004085,granted,withdrawn,2026-06-18T12:14:00,User withdrawal
CH00000096,CON00013222,USR004085,granted,withdrawn,2026-07-20T11:19:00,User withdrawal
CH00000097,CON00013437,USR004152,granted,withdrawn,2026-08-20T13:18:00,User withdrawal
CH00000098,CON00013913,USR004293,granted,withdrawn,2026-07-03T11:01:00,User withdrawal
CH00000099,CON00013914,USR004293,granted,withdrawn,2026-05-17T10:21:00,User withdrawal
CH00000100,CON00013922,USR004296,granted,withdrawn,2026-05-15T15:12:00,User withdrawal
CH00000101,CON00013934,USR004300,granted,withdrawn,2026-07-17T09:26:00,User withdrawal
CH00000102,CON00014264,USR004398,granted,withdrawn,2026-07-03T18:13:00,User withdrawal
CH00000103,CON00015581,USR004803,granted,withdrawn,2026-06-14T07:16:00,User withdrawal
CH00000104,CON00015582,USR004803,granted,withdrawn,2026-05-01T08:16:00,User withdrawal
CH00000105,CON00015618,USR004813,granted,withdrawn,2026-06-16T07:29:00,User withdrawal
CH00000106,CON00015796,USR004873,granted,withdrawn,2026-06-26T10:09:00,User withdrawal
CH00000107,CON00015797,USR004873,granted,withdrawn,2026-07-31T10:13:00,User withdrawal
CH00000108,CON00017012,USR005246,granted,withdrawn,2026-05-08T05:35:00,User withdrawal
CH00000109,CON00017130,USR005282,granted,withdrawn,2026-07-17T08:56:00,User withdrawal
CH00000110,CON00017200,USR005304,granted,withdrawn,2026-08-05T22:29:00,User withdrawal
CH00000111,CON00017546,USR005409,granted,withdrawn,2026-04-25T16:45:00,User withdrawal
CH00000112,CON00017771,USR005481,granted,withdrawn,2026-05-04T22:57:00,User withdrawal
CH00000113,CON00018530,USR005709,granted,withdrawn,2026-05-06T16:29:00,User withdrawal
CH00000114,CON00018676,USR005754,granted,withdrawn,2026-07-07T01:22:00,User withdrawal
CH00000115,CON00018985,USR005852,granted,withdrawn,2026-04-12T21:17:00,User withdrawal
CH00000116,CON00019049,USR005872,granted,withdrawn,2026-03-18T02:49:00,User withdrawal
CH00000117,CON00019272,USR005942,granted,withdrawn,2026-08-11T03:40:00,User withdrawal
CH00000118,CON00019545,USR006026,granted,withdrawn,2026-04-01T00:46:00,User withdrawal
CH00000119,CON00020186,USR006223,granted,withdrawn,2026-05-27T04:18:00,User withdrawal
CH00000120,CON00020407,USR006294,granted,withdrawn,2026-07-12T18:21:00,User withdrawal
CH00000121,CON00020684,USR006379,granted,withdrawn,2026-05-18T05:07:00,User withdrawal
CH00000122,CON00020792,USR006414,granted,withdrawn,2026-07-23T02:02:00,User withdrawal
CH00000123,CON00020793,USR006414,granted,withdrawn,2026-06-30T01:17:00,User withdrawal
CH00000124,CON00021037,USR006490,granted,withdrawn,2026-08-17T00:12:00,User withdrawal
CH00000125,CON00021345,USR006583,granted,withdrawn,2026-08-28T13:57:00,User withdrawal
CH00000126,CON00021404,USR006601,granted,withdrawn,2026-05-23T21:22:00,User withdrawal
CH00000127,CON00021405,USR006601,granted,withdrawn,2026-07-31T21:20:00,User withdrawal
CH00000128,CON00021558,USR006647,granted,withdrawn,2026-07-18T09:09:00,User withdrawal
CH00000129,CON00021573,USR006652,granted,withdrawn,2026-05-03T14:56:00,User withdrawal
CH00000130,CON00021775,USR006714,granted,withdrawn,2026-05-04T16:12:00,User withdrawal
CH00000131,CON00022221,USR006854,granted,withdrawn,2026-03-22T00:54:00,User withdrawal
CH00000132,CON00022401,USR006910,granted,withdrawn,2026-05-27T07:16:00,User withdrawal
CH00000133,CON00022402,USR006910,granted,withdrawn,2026-08-05T08:16:00,User withdrawal
CH00000134,CON00022406,USR006911,granted,withdrawn,2026-08-19T17:12:00,User withdrawal
CH00000135,CON00022407,USR006911,granted,withdrawn,2026-07-03T16:28:00,User withdrawal
CH00000136,CON00022466,USR006930,granted,withdrawn,2026-08-12T11:05:00,User withdrawal
CH00000137,CON00022467,USR006930,granted,withdrawn,2026-08-01T11:02:00,User withdrawal
CH00000138,CON00022623,USR006977,granted,withdrawn,2026-08-05T08:39:00,User withdrawal
CH00000139,CON00022624,USR006977,granted,withdrawn,2026-06-15T09:15:00,User withdrawal
CH00000140,CON00023360,USR007202,granted,withdrawn,2026-09-06T09:22:00,User withdrawal
CH00000141,CON00023579,USR007269,granted,withdrawn,2026-09-10T02:16:00,User withdrawal
CH00000142,CON00023786,USR007334,granted,withdrawn,2026-06-02T02:31:00,User withdrawal
CH00000143,CON00023787,USR007334,granted,withdrawn,2026-08-10T02:06:00,User withdrawal
CH00000144,CON00023789,USR007335,granted,withdrawn,2026-08-01T12:54:00,User withdrawal
CH00000145,CON00024051,USR007416,granted,withdrawn,2026-07-29T10:20:00,User withdrawal
CH00000146,CON00024169,USR007452,granted,withdrawn,2026-05-06T14:06:00,User withdrawal
CH00000147,CON00025066,USR007725,granted,withdrawn,2026-06-24T07:08:00,User withdrawal
CH00000148,CON00025136,USR007748,granted,withdrawn,2026-05-10T04:48:00,User withdrawal
CH00000149,CON00025644,USR007905,granted,withdrawn,2026-04-27T20:20:00,User withdrawal
CH00000150,CON00025645,USR007905,granted,withdrawn,2026-03-07T21:21:00,User withdrawal
CH00000151,CON00025748,USR007935,granted,withdrawn,2026-07-05T12:45:00,User withdrawal
CH00000152,CON00025821,USR007958,granted,withdrawn,2026-05-31T10:18:00,User withdrawal
CH00000153,CON00026000,USR008011,granted,withdrawn,2026-05-18T11:08:00,User withdrawal
CH00000154,CON00026001,USR008011,granted,withdrawn,2026-04-28T10:55:00,User withdrawal
CH00000155,CON00026113,USR008046,granted,withdrawn,2026-09-03T10:17:00,User withdrawal
CH00000156,CON00026114,USR008046,granted,withdrawn,2026-07-26T10:30:00,User withdrawal
CH00000157,CON00026706,USR008227,granted,withdrawn,2026-06-02T08:16:00,User withdrawal
CH00000158,CON00026707,USR008227,granted,withdrawn,2026-04-14T08:00:00,User withdrawal
CH00000159,CON00026842,USR008268,granted,withdrawn,2026-07-13T22:57:00,User withdrawal
CH00000160,CON00027359,USR008427,granted,withdrawn,2026-04-14T09:56:00,User withdrawal
CH00000161,CON00027418,USR008446,granted,withdrawn,2026-06-09T04:18:00,User withdrawal
CH00000162,CON00027419,USR008446,granted,withdrawn,2026-07-15T03:20:00,User withdrawal
CH00000163,CON00027872,USR008590,granted,withdrawn,2026-07-13T09:19:00,User withdrawal
CH00000164,CON00028241,USR008702,granted,withdrawn,2026-08-27T09:09:00,User withdrawal
CH00000165,CON00028521,USR008787,granted,withdrawn,2026-06-29T17:42:00,User withdrawal
CH00000166,CON00028522,USR008787,granted,withdrawn,2026-07-18T18:25:00,User withdrawal
CH00000167,CON00028985,USR008929,granted,withdrawn,2026-07-10T03:53:00,User withdrawal
CH00000168,CON00028986,USR008929,granted,withdrawn,2026-08-02T03:02:00,User withdrawal
CH00000169,CON00029235,USR009008,granted,withdrawn,2026-08-16T20:12:00,User withdrawal
CH00000170,CON00029236,USR009008,granted,withdrawn,2026-08-05T20:58:00,User withdrawal
CH00000171,CON00029368,USR009048,granted,withdrawn,2026-07-24T20:14:00,User withdrawal
CH00000172,CON00029369,USR009048,granted,withdrawn,2026-06-02T19:58:00,User withdrawal
CH00000173,CON00029371,USR009049,granted,withdrawn,2026-06-16T02:54:00,User withdrawal
CH00000174,CON00029372,USR009049,granted,withdrawn,2026-04-15T02:30:00,User withdrawal
CH00000175,CON00029374,USR009050,granted,withdrawn,2026-06-21T19:41:00,User withdrawal
CH00000176,CON00029375,USR009050,granted,withdrawn,2026-06-23T20:00:00,User withdrawal
CH00000177,CON00029478,USR009080,granted,withdrawn,2026-07-19T14:08:00,User withdrawal
CH00000178,CON00030370,USR009352,granted,withdrawn,2026-05-30T02:23:00,User withdrawal
CH00000179,CON00030371,USR009352,granted,withdrawn,2026-08-17T03:20:00,User withdrawal
CH00000180,CON00030794,USR009483,granted,withdrawn,2026-07-30T00:46:00,User withdrawal
CH00000181,CON00030896,USR009513,granted,withdrawn,2026-04-21T11:25:00,User withdrawal
CH00000182,CON00031373,USR009659,granted,withdrawn,2026-06-16T21:18:00,User withdrawal
CH00000183,CON00032137,USR009895,granted,withdrawn,2026-06-12T12:02:00,User withdrawal
CH00000184,CON00032251,USR009927,granted,withdrawn,2026-07-19T11:07:00,User withdrawal
CH00000185,CON00032252,USR009927,granted,withdrawn,2026-06-02T11:25:00,User withdrawal
