context_id,user_id,related_session_id,recorded_at,context_type,context_value,source
CTX00000062,USR000022,SES00000120,2026-08-05T19:40:00,stress,moderate,self_report
CTX00000063,USR000022,SES00000121,2026-09-01T12:38:00,sleep,good,self_report
CTX00000064,USR000022,SES00000122,2026-09-10T19:02:00,lifestyle_change,routine_change,self_report
CTX00000065,USR000023,SES00000126,2026-08-12T22:45:00,none,none,self_report
CTX00000066,USR000024,SES00000128,2025-12-16T04:13:00,medication_change_self_report,self_reported_change,self_report
CTX00000067,USR000024,SES00000130,2026-03-11T01:30:00,workload,normal,self_report
CTX00000068,USR000024,SES00000131,2026-06-07T05:17:00,lifestyle_change,routine_change,self_report
CTX00000069,USR000024,SES00000134,2026-08-27T13:41:00,sleep,fair,self_report
CTX00000070,USR000025,SES00000138,2026-03-09T21:22:00,workload,normal,self_report
CTX00000071,USR000025,SES00000139,2026-04-13T17:32:00,none,none,self_report
CTX00000072,USR000026,SES00000140,2026-02-17T04:01:00,sleep,fair,self_report
CTX00000073,USR000026,SES00000142,2026-03-14T00:27:00,none,none,self_report
CTX00000074,USR000026,SES00000143,2026-03-16T16:30:00,none,none,self_report
CTX00000075,USR000026,SES00000147,2026-06-05T08:48:00,stress,moderate,self_report
CTX00000076,USR000026,SES00000148,2026-08-09T11:27:00,stress,high,self_report
CTX00000077,USR000028,SES00000149,2026-04-05T08:52:00,medication_change_self_report,self_reported_change,self_report
CTX00000078,USR000028,SES00000150,2026-04-09T11:18:00,stress,moderate,self_report
CTX00000079,USR000028,SES00000152,2026-09-03T07:33:00,sleep,good,self_report
CTX00000080,USR000029,SES00000154,2025-12-18T20:07:00,workload,normal,self_report
CTX00000081,USR000029,SES00000156,2026-02-03T16:40:00,lifestyle_change,routine_change,self_report
CTX00000082,USR000030,SES00000159,2025-11-15T16:47:00,travel,recent_travel,self_report
CTX00000083,USR000030,SES00000160,2026-02-03T08:01:00,stress,high,self_report
CTX00000084,USR000030,SES00000161,2026-02-25T00:45:00,workload,high,self_report
CTX00000085,USR000030,SES00000162,2026-05-02T05:03:00,stress,low,self_report
CTX00000086,USR000030,SES00000164,2026-08-14T22:24:00,illness_self_report,temporary_unwell,self_report
CTX00000087,USR000031,SES00000167,2026-02-26T16:08:00,sleep,fair,self_report
CTX00000088,USR000031,SES00000169,2026-03-15T08:02:00,lifestyle_change,routine_change,self_report
CTX00000089,USR000031,SES00000170,2026-08-21T04:04:00,stress,high,self_report
CTX00000090,USR000032,SES00000174,2026-04-15T21:43:00,workload,normal,self_report
CTX00000091,USR000032,SES00000175,2026-04-26T19:50:00,workload,high,self_report
CTX00000092,USR000032,SES00000176,2026-07-25T07:40:00,none,none,self_report
CTX00000093,USR000032,SES00000177,2026-08-03T05:18:00,stress,low,self_report
CTX00000094,USR000033,SES00000180,2025-11-07T05:33:00,stress,high,self_report
CTX00000095,USR000033,SES00000181,2025-11-20T08:43:00,illness_self_report,temporary_unwell,self_report
CTX00000096,USR000033,SES00000184,2026-05-14T07:13:00,sleep,fair,self_report
CTX00000097,USR000033,SES00000185,2026-06-27T04:30:00,stress,low,self_report
CTX00000098,USR000034,SES00000190,2026-02-02T17:36:00,stress,high,self_report
CTX00000099,USR000034,SES00000191,2026-04-28T23:17:00,sleep,good,self_report
CTX00000100,USR000034,SES00000193,2026-07-12T18:51:00,travel,recent_travel,self_report
CTX00000101,USR000035,SES00000196,2025-11-19T21:33:00,sleep,poor,self_report
CTX00000102,USR000035,SES00000197,2025-12-03T03:55:00,workload,high,self_report
CTX00000103,USR000035,SES00000201,2026-08-24T17:24:00,workload,normal,self_report
CTX00000104,USR000036,SES00000203,2026-03-08T19:17:00,travel,recent_travel,self_report
CTX00000105,USR000036,SES00000204,2026-04-29T18:09:00,sleep,poor,self_report
CTX00000106,USR000036,SES00000205,2026-06-13T07:46:00,sleep,poor,self_report
CTX00000107,USR000037,SES00000208,2026-02-28T19:36:00,lifestyle_change,routine_change,self_report
CTX00000108,USR000037,SES00000209,2026-04-03T09:43:00,stress,high,self_report
CTX00000109,USR000037,SES00000211,2026-06-21T13:27:00,none,none,self_report
CTX00000110,USR000037,SES00000212,2026-07-03T13:10:00,medication_change_self_report,self_reported_change,self_report
CTX00000111,USR000037,SES00000214,2026-08-21T00:09:00,none,none,self_report
CTX00000112,USR000037,SES00000215,2026-09-05T13:17:00,workload,high,self_report
CTX00000113,USR000038,SES00000217,2026-02-02T05:16:00,sleep,fair,self_report
CTX00000114,USR000038,SES00000218,2026-08-04T08:22:00,workload,high,self_report
CTX00000115,USR000038,SES00000219,2026-08-28T04:09:00,stress,moderate,self_report
CTX00000116,USR000039,SES00000220,2026-02-16T02:41:00,none,none,self_report
CTX00000117,USR000039,SES00000221,2026-02-21T10:47:00,sleep,good,self_report
CTX00000118,USR000039,SES00000222,2026-05-22T09:27:00,travel,recent_travel,self_report
CTX00000119,USR000039,SES00000223,2026-06-30T13:12:00,sleep,good,self_report
CTX00000120,USR000039,SES00000224,2026-07-21T15:24:00,stress,low,self_report
CTX00000121,USR000041,SES00000225,2026-02-21T20:04:00,travel,recent_travel,self_report
CTX00000122,USR000041,SES00000226,2026-03-23T18:56:00,illness_self_report,temporary_unwell,self_report
CTX00000123,USR000041,SES00000228,2026-05-05T07:01:00,major_life_event,self_reported_event,self_report
CTX00000124,USR000041,SES00000231,2026-07-16T16:32:00,workload,normal,self_report
CTX00000125,USR000041,SES00000233,2026-08-19T22:12:00,major_life_event,self_reported_event,self_report
CTX00000126,USR000042,SES00000235,2026-05-06T00:51:00,none,none,self_report
CTX00000127,USR000042,SES00000236,2026-06-20T02:35:00,illness_self_report,temporary_unwell,self_report
CTX00000128,USR000043,SES00000239,2026-01-21T14:16:00,major_life_event,self_reported_event,self_report
CTX00000129,USR000043,SES00000240,2026-01-25T19:30:00,stress,moderate,self_report
CTX00000130,USR000043,SES00000241,2026-01-28T13:35:00,illness_self_report,temporary_unwell,self_report
CTX00000131,USR000043,SES00000242,2026-04-01T18:57:00,travel,recent_travel,self_report
CTX00000132,USR000043,SES00000243,2026-04-13T15:16:00,illness_self_report,temporary_unwell,self_report
CTX00000133,USR000043,SES00000245,2026-06-25T10:59:00,illness_self_report,temporary_unwell,self_report
CTX00000134,USR000044,SES00000246,2026-01-21T04:00:00,workload,high,self_report
CTX00000135,USR000044,SES00000247,2026-01-29T01:12:00,major_life_event,self_reported_event,self_report
CTX00000136,USR000044,SES00000248,2026-04-03T16:28:00,lifestyle_change,routine_change,self_report
CTX00000137,USR000044,SES00000249,2026-04-14T15:04:00,sleep,good,self_report
CTX00000138,USR000044,SES00000250,2026-05-27T17:00:00,stress,moderate,self_report
CTX00000139,USR000044,SES00000251,2026-08-03T18:41:00,workload,high,self_report
CTX00000140,USR000044,SES00000252,2026-08-11T17:00:00,sleep,fair,self_report
CTX00000141,USR000044,SES00000253,2026-08-25T12:44:00,illness_self_report,temporary_unwell,self_report
CTX00000142,USR000045,SES00000257,2026-02-07T18:30:00,lifestyle_change,routine_change,self_report
CTX00000143,USR000045,SES00000258,2026-02-21T11:34:00,none,none,self_report
CTX00000144,USR000045,SES00000260,2026-07-23T06:16:00,stress,low,self_report
CTX00000145,USR000045,SES00000261,2026-08-02T12:02:00,stress,high,self_report
CTX00000146,USR000046,SES00000263,2025-10-24T06:01:00,travel,recent_travel,self_report
CTX00000147,USR000046,SES00000264,2025-10-30T05:34:00,workload,normal,self_report
CTX00000148,USR000046,SES00000265,2026-01-31T03:55:00,sleep,good,self_report
CTX00000149,USR000046,SES00000267,2026-03-21T00:03:00,stress,low,self_report
CTX00000150,USR000046,SES00000268,2026-06-02T02:22:00,stress,high,self_report
CTX00000151,USR000046,SES00000269,2026-06-03T13:33:00,sleep,fair,self_report
CTX00000152,USR000046,SES00000270,2026-06-12T19:18:00,stress,moderate,self_report
CTX00000153,USR000047,SES00000272,2026-05-31T14:56:00,stress,moderate,self_report
CTX00000154,USR000047,SES00000274,2026-07-25T05:53:00,major_life_event,self_reported_event,self_report
CTX00000155,USR000047,SES00000276,2026-08-10T13:45:00,workload,normal,self_report
CTX00000156,USR000047,SES00000277,2026-08-26T15:31:00,travel,recent_travel,self_report
CTX00000157,USR000049,SES00000278,2026-04-20T14:40:00,workload,normal,self_report
CTX00000158,USR000049,SES00000281,2026-05-13T00:40:00,none,none,self_report
CTX00000159,USR000050,SES00000287,2026-05-16T16:11:00,none,none,self_report
CTX00000160,USR000050,SES00000288,2026-05-31T16:36:00,medication_change_self_report,self_reported_change,self_report
CTX00000161,USR000050,SES00000289,2026-09-08T23:52:00,illness_self_report,temporary_unwell,self_report
CTX00000162,USR000051,SES00000290,2025-12-13T06:36:00,lifestyle_change,routine_change,self_report
CTX00000163,USR000051,SES00000292,2026-06-14T06:26:00,stress,high,self_report
CTX00000164,USR000052,SES00000294,2025-11-19T20:25:00,sleep,poor,self_report
CTX00000165,USR000052,SES00000296,2026-05-19T02:56:00,lifestyle_change,routine_change,self_report
CTX00000166,USR000052,SES00000297,2026-06-11T19:11:00,travel,recent_travel,self_report
CTX00000167,USR000054,SES00000299,2026-01-24T09:12:00,stress,moderate,self_report
CTX00000168,USR000054,SES00000300,2026-04-05T16:14:00,stress,low,self_report
CTX00000169,USR000054,SES00000302,2026-08-22T12:28:00,lifestyle_change,routine_change,self_report
CTX00000170,USR000055,SES00000304,2025-12-10T07:36:00,sleep,good,self_report
CTX00000171,USR000055,SES00000305,2026-01-20T06:05:00,workload,high,self_report
CTX00000172,USR000055,SES00000306,2026-02-17T04:32:00,lifestyle_change,routine_change,self_report
CTX00000173,USR000055,SES00000309,2026-07-04T17:19:00,stress,low,self_report
CTX00000174,USR000056,SES00000314,2026-06-28T02:44:00,stress,high,self_report
CTX00000175,USR000056,SES00000315,2026-07-08T18:26:00,stress,high,self_report
CTX00000176,USR000056,SES00000316,2026-07-14T10:41:00,stress,low,self_report
CTX00000177,USR000057,SES00000319,2026-07-02T23:55:00,none,none,self_report
CTX00000178,USR000059,SES00000321,2026-02-12T16:23:00,workload,normal,self_report
CTX00000179,USR000059,SES00000322,2026-03-15T16:33:00,sleep,poor,self_report
CTX00000180,USR000059,SES00000323,2026-04-06T14:24:00,workload,normal,self_report
CTX00000181,USR000059,SES00000326,2026-06-08T13:24:00,none,none,self_report
CTX00000182,USR000059,SES00000327,2026-06-24T20:10:00,travel,recent_travel,self_report
CTX00000183,USR000059,SES00000328,2026-08-25T12:20:00,stress,high,self_report
CTX00000184,USR000060,SES00000329,2025-12-29T00:44:00,workload,high,self_report
CTX00000185,USR000060,SES00000330,2026-01-09T09:17:00,lifestyle_change,routine_change,self_report
CTX00000186,USR000060,SES00000331,2026-02-07T17:06:00,none,none,self_report
CTX00000187,USR000060,SES00000333,2026-04-17T10:27:00,stress,low,self_report
CTX00000188,USR000060,SES00000334,2026-05-08T06:26:00,travel,recent_travel,self_report
CTX00000189,USR000060,SES00000336,2026-06-20T12:33:00,none,none,self_report
CTX00000190,USR000060,SES00000337,2026-06-23T18:50:00,stress,moderate,self_report
CTX00000191,USR000061,SES00000338,2026-01-11T09:22:00,sleep,fair,self_report
CTX00000192,USR000061,SES00000342,2026-05-05T03:54:00,illness_self_report,temporary_unwell,self_report
CTX00000193,USR000062,SES00000344,2025-12-24T19:09:00,stress,moderate,self_report
CTX00000194,USR000062,SES00000345,2026-02-24T10:14:00,travel,recent_travel,self_report
CTX00000195,USR000062,SES00000346,2026-03-06T05:23:00,sleep,fair,self_report
CTX00000196,USR000064,SES00000348,2025-11-01T05:25:00,workload,high,self_report
CTX00000197,USR000064,SES00000349,2025-11-29T02:18:00,none,none,self_report
CTX00000198,USR000064,SES00000354,2026-05-03T23:50:00,workload,normal,self_report
CTX00000199,USR000064,SES00000355,2026-07-20T20:03:00,travel,recent_travel,self_report
CTX00000200,USR000065,SES00000357,2026-05-18T03:06:00,lifestyle_change,routine_change,self_report
CTX00000201,USR000065,SES00000361,2026-09-10T22:54:00,travel,recent_travel,self_report
CTX00000202,USR000066,SES00000363,2026-02-28T07:07:00,stress,high,self_report
CTX00000203,USR000066,SES00000364,2026-05-11T16:15:00,travel,recent_travel,self_report
CTX00000204,USR000068,SES00000367,2026-01-28T20:07:00,workload,normal,self_report
CTX00000205,USR000068,SES00000369,2026-06-26T22:27:00,none,none,self_report
CTX00000206,USR000069,SES00000370,2025-10-03T21:49:00,stress,high,self_report
CTX00000207,USR000069,SES00000371,2025-11-01T23:59:00,sleep,fair,self_report
CTX00000208,USR000070,SES00000376,2026-03-04T19:29:00,illness_self_report,temporary_unwell,self_report
CTX00000209,USR000070,SES00000378,2026-04-01T23:24:00,sleep,fair,self_report
CTX00000210,USR000070,SES00000380,2026-06-07T01:09:00,workload,normal,self_report
CTX00000211,USR000070,SES00000381,2026-06-11T09:18:00,major_life_event,self_reported_event,self_report
CTX00000212,USR000071,SES00000384,2026-03-14T05:36:00,sleep,good,self_report
CTX00000213,USR000072,SES00000388,2025-11-24T14:45:00,stress,low,self_report
CTX00000214,USR000072,SES00000389,2025-11-26T04:22:00,stress,moderate,self_report
CTX00000215,USR000072,SES00000390,2026-06-12T09:05:00,workload,high,self_report
CTX00000216,USR000072,SES00000393,2026-07-02T09:29:00,sleep,good,self_report
CTX00000217,USR000072,SES00000394,2026-08-03T11:09:00,stress,low,self_report
CTX00000218,USR000072,SES00000395,2026-09-11T19:01:00,major_life_event,self_reported_event,self_report
CTX00000219,USR000073,SES00000398,2026-06-21T06:34:00,illness_self_report,temporary_unwell,self_report
CTX00000220,USR000073,SES00000399,2026-08-28T15:00:00,lifestyle_change,routine_change,self_report
CTX00000221,USR000073,SES00000400,2026-09-07T01:23:00,workload,normal,self_report
CTX00000222,USR000074,SES00000402,2026-05-28T12:22:00,workload,normal,self_report
CTX00000223,USR000075,SES00000407,2026-08-10T14:20:00,illness_self_report,temporary_unwell,self_report
CTX00000224,USR000076,SES00000411,2026-02-08T00:35:00,sleep,poor,self_report
CTX00000225,USR000076,SES00000416,2026-06-06T09:12:00,lifestyle_change,routine_change,self_report
CTX00000226,USR000078,SES00000420,2025-11-27T04:36:00,stress,moderate,self_report
CTX00000227,USR000078,SES00000421,2026-01-13T16:27:00,workload,normal,self_report
CTX00000228,USR000078,SES00000423,2026-03-01T17:51:00,workload,normal,self_report
CTX00000229,USR000078,SES00000424,2026-06-17T09:30:00,workload,normal,self_report
CTX00000230,USR000079,SES00000427,2026-03-03T05:25:00,none,none,self_report
CTX00000231,USR000079,SES00000428,2026-04-18T20:50:00,stress,moderate,self_report
CTX00000232,USR000079,SES00000429,2026-04-23T13:09:00,sleep,fair,self_report
CTX00000233,USR000079,SES00000430,2026-06-18T06:24:00,sleep,poor,self_report
CTX00000234,USR000080,SES00000434,2026-04-09T05:58:00,stress,moderate,self_report
CTX00000235,USR000080,SES00000436,2026-05-04T02:38:00,sleep,fair,self_report
CTX00000236,USR000082,SES00000438,2026-01-16T11:54:00,stress,high,self_report
CTX00000237,USR000082,SES00000442,2026-08-23T00:25:00,sleep,good,self_report
CTX00000238,USR000083,SES00000445,2026-06-14T11:15:00,workload,high,self_report
CTX00000239,USR000083,SES00000446,2026-06-24T01:34:00,workload,normal,self_report
CTX00000240,USR000086,SES00000448,2026-01-09T16:16:00,sleep,poor,self_report
CTX00000241,USR000086,SES00000449,2026-01-21T10:23:00,stress,low,self_report
CTX00000242,USR000086,SES00000451,2026-09-13T02:55:00,sleep,good,self_report
CTX00000243,USR000087,SES00000453,2025-12-16T04:05:00,sleep,poor,self_report
CTX00000244,USR000087,SES00000455,2026-02-27T10:53:00,none,none,self_report
CTX00000245,USR000087,SES00000456,2026-06-22T04:32:00,sleep,fair,self_report
CTX00000246,USR000087,SES00000458,2026-08-30T10:37:00,workload,high,self_report
CTX00000247,USR000087,SES00000460,2026-09-10T22:39:00,workload,normal,self_report
CTX00000248,USR000088,SES00000461,2026-01-09T06:46:00,sleep,fair,self_report
CTX00000249,USR000088,SES00000463,2026-02-15T11:48:00,illness_self_report,temporary_unwell,self_report
CTX00000250,USR000088,SES00000464,2026-04-11T16:20:00,stress,moderate,self_report
CTX00000251,USR000088,SES00000466,2026-05-31T05:47:00,sleep,good,self_report
CTX00000252,USR000088,SES00000467,2026-06-11T07:35:00,travel,recent_travel,self_report
CTX00000253,USR000088,SES00000469,2026-09-03T06:26:00,sleep,poor,self_report
CTX00000254,USR000090,SES00000476,2026-03-19T00:46:00,stress,low,self_report
CTX00000255,USR000091,SES00000483,2026-03-14T11:40:00,medication_change_self_report,self_reported_change,self_report
CTX00000256,USR000091,SES00000484,2026-03-22T10:48:00,medication_change_self_report,self_reported_change,self_report
CTX00000257,USR000091,SES00000486,2026-05-06T04:02:00,workload,normal,self_report
CTX00000258,USR000092,SES00000488,2025-11-05T07:28:00,sleep,good,self_report
CTX00000259,USR000092,SES00000489,2025-11-06T11:49:00,workload,high,self_report
CTX00000260,USR000092,SES00000490,2025-12-05T12:18:00,stress,low,self_report
CTX00000261,USR000092,SES00000491,2026-01-05T15:07:00,stress,moderate,self_report
CTX00000262,USR000092,SES00000492,2026-03-01T17:50:00,sleep,fair,self_report
CTX00000263,USR000092,SES00000494,2026-06-06T07:37:00,sleep,good,self_report
CTX00000264,USR000092,SES00000496,2026-09-07T18:11:00,none,none,self_report
CTX00000265,USR000093,SES00000497,2026-01-24T03:14:00,stress,high,self_report
CTX00000266,USR000093,SES00000498,2026-02-07T12:52:00,stress,low,self_report
CTX00000267,USR000093,SES00000500,2026-03-19T01:21:00,sleep,poor,self_report
CTX00000268,USR000093,SES00000501,2026-03-30T02:50:00,stress,high,self_report
CTX00000269,USR000093,SES00000502,2026-06-03T21:23:00,lifestyle_change,routine_change,self_report
CTX00000270,USR000094,SES00000506,2025-12-25T10:00:00,workload,high,self_report
CTX00000271,USR000094,SES00000508,2026-03-10T05:29:00,workload,high,self_report
CTX00000272,USR000094,SES00000510,2026-06-04T21:24:00,illness_self_report,temporary_unwell,self_report
CTX00000273,USR000094,SES00000511,2026-09-01T08:40:00,stress,low,self_report
CTX00000274,USR000095,SES00000512,2025-12-17T09:50:00,stress,low,self_report
CTX00000275,USR000095,SES00000513,2026-02-12T03:52:00,sleep,fair,self_report
CTX00000276,USR000095,SES00000514,2026-02-28T21:31:00,major_life_event,self_reported_event,self_report
CTX00000277,USR000095,SES00000515,2026-03-19T15:55:00,workload,high,self_report
CTX00000278,USR000095,SES00000516,2026-04-04T00:39:00,sleep,good,self_report
CTX00000279,USR000095,SES00000517,2026-09-09T22:17:00,sleep,good,self_report
CTX00000280,USR000096,SES00000522,2026-09-04T18:06:00,sleep,fair,self_report
CTX00000281,USR000097,SES00000523,2025-11-07T11:59:00,sleep,good,self_report
CTX00000282,USR000097,SES00000524,2025-11-29T19:01:00,stress,moderate,self_report
CTX00000283,USR000097,SES00000526,2026-03-30T05:25:00,stress,moderate,self_report
CTX00000284,USR000097,SES00000527,2026-04-20T04:36:00,travel,recent_travel,self_report
CTX00000285,USR000098,SES00000533,2026-04-12T20:13:00,travel,recent_travel,self_report
CTX00000286,USR000098,SES00000536,2026-08-07T04:17:00,workload,normal,self_report
CTX00000287,USR000098,SES00000537,2026-08-27T09:08:00,stress,moderate,self_report
CTX00000288,USR000099,SES00000539,2026-03-20T22:56:00,sleep,good,self_report
CTX00000289,USR000099,SES00000541,2026-04-19T05:45:00,none,none,self_report
CTX00000290,USR000099,SES00000546,2026-07-27T13:27:00,sleep,good,self_report
CTX00000291,USR000100,SES00000549,2025-12-14T08:35:00,illness_self_report,temporary_unwell,self_report
CTX00000292,USR000100,SES00000551,2026-04-18T21:07:00,workload,high,self_report
CTX00000293,USR000101,SES00000555,2026-06-08T07:30:00,major_life_event,self_reported_event,self_report
CTX00000294,USR000101,SES00000559,2026-08-29T11:00:00,lifestyle_change,routine_change,self_report
CTX00000295,USR000102,SES00000560,2025-12-13T19:15:00,major_life_event,self_reported_event,self_report
CTX00000296,USR000102,SES00000563,2026-05-07T03:12:00,stress,low,self_report
CTX00000297,USR000102,SES00000564,2026-05-25T03:17:00,workload,high,self_report
CTX00000298,USR000102,SES00000565,2026-07-31T07:03:00,stress,high,self_report
CTX00000299,USR000102,SES00000566,2026-08-21T13:23:00,workload,normal,self_report
CTX00000300,USR000103,SES00000567,2026-01-28T14:30:00,sleep,good,self_report
CTX00000301,USR000103,SES00000570,2026-05-01T21:30:00,sleep,fair,self_report
CTX00000302,USR000103,SES00000571,2026-06-22T03:03:00,sleep,poor,self_report
CTX00000303,USR000103,SES00000573,2026-07-01T22:19:00,illness_self_report,temporary_unwell,self_report
CTX00000304,USR000103,SES00000574,2026-07-03T12:00:00,none,none,self_report
CTX00000305,USR000104,SES00000577,2026-04-04T15:45:00,sleep,good,self_report
CTX00000306,USR000104,SES00000578,2026-06-12T22:23:00,travel,recent_travel,self_report
CTX00000307,USR000107,SES00000579,2026-02-23T10:11:00,travel,recent_travel,self_report
CTX00000308,USR000107,SES00000583,2026-06-27T17:35:00,workload,high,self_report
CTX00000309,USR000109,SES00000586,2026-01-29T18:13:00,none,none,self_report
CTX00000310,USR000109,SES00000587,2026-04-09T03:42:00,sleep,fair,self_report
CTX00000311,USR000109,SES00000589,2026-04-22T22:45:00,stress,moderate,self_report
CTX00000312,USR000109,SES00000590,2026-08-05T08:56:00,stress,moderate,self_report
CTX00000313,USR000109,SES00000591,2026-08-19T09:21:00,sleep,good,self_report
CTX00000314,USR000110,SES00000593,2025-12-15T07:47:00,sleep,fair,self_report
CTX00000315,USR000110,SES00000594,2026-03-07T04:20:00,illness_self_report,temporary_unwell,self_report
CTX00000316,USR000110,SES00000596,2026-07-04T04:11:00,sleep,good,self_report
CTX00000317,USR000110,SES00000597,2026-07-13T21:26:00,sleep,fair,self_report
CTX00000318,USR000113,SES00000599,2026-02-19T00:47:00,medication_change_self_report,self_reported_change,self_report
CTX00000319,USR000113,SES00000601,2026-03-21T08:47:00,medication_change_self_report,self_reported_change,self_report
CTX00000320,USR000113,SES00000602,2026-05-24T04:16:00,travel,recent_travel,self_report
CTX00000321,USR000114,SES00000604,2025-12-02T04:05:00,lifestyle_change,routine_change,self_report
CTX00000322,USR000114,SES00000607,2026-07-03T04:13:00,sleep,poor,self_report
CTX00000323,USR000114,SES00000608,2026-07-17T04:07:00,sleep,fair,self_report
CTX00000324,USR000116,SES00000609,2026-01-17T03:01:00,travel,recent_travel,self_report
CTX00000325,USR000116,SES00000610,2026-02-05T15:21:00,stress,moderate,self_report
