recommendation_id,insight_id,user_id,product_code,recommendation_type,recommendation_text,priority,created_at
REC00000135,INS00000135,USR000169,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,medium,2026-05-02T12:00:20
REC00000136,INS00000136,USR000170,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,medium,2026-07-16T03:00:20
REC00000137,INS00000137,USR000171,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,medium,2026-06-29T13:00:20
REC00000138,INS00000138,USR000172,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,low,2026-06-05T02:00:20
REC00000139,INS00000139,USR000172,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,low,2026-09-14T12:00:20
REC00000140,INS00000140,USR000173,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-06-08T03:00:20
REC00000141,INS00000141,USR000174,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,low,2026-06-24T00:00:20
REC00000142,INS00000142,USR000177,MINDGUARD,wellbeing_checkin,Complete a wellbeing check-in to add context.,low,2026-05-16T15:00:20
REC00000143,INS00000143,USR000178,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,medium,2026-04-06T11:00:20
REC00000144,INS00000144,USR000178,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,low,2026-02-21T08:00:20
REC00000145,INS00000145,USR000180,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,low,2026-07-08T17:00:20
REC00000146,INS00000146,USR000182,MINDGUARD,maintain_monitoring,Continue routine monitoring.,low,2026-09-14T12:00:20
REC00000147,INS00000147,USR000184,MINDGUARD,maintain_monitoring,Continue routine monitoring.,low,2026-06-18T18:00:20
REC00000148,INS00000148,USR000185,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,medium,2026-04-13T01:00:20
REC00000149,INS00000149,USR000187,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,medium,2026-03-11T21:00:20
REC00000150,INS00000150,USR000189,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,low,2026-02-26T20:00:20
REC00000151,INS00000151,USR000189,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,low,2026-04-05T18:00:20
REC00000152,INS00000152,USR000190,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-05-16T11:00:20
REC00000153,INS00000153,USR000190,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,medium,2026-05-07T03:00:20
REC00000154,INS00000154,USR000191,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,low,2026-08-09T19:00:20
REC00000155,INS00000155,USR000192,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-07-10T13:00:20
REC00000156,INS00000156,USR000193,MINDGUARD,maintain_monitoring,Continue routine monitoring.,low,2026-06-11T03:00:20
REC00000157,INS00000157,USR000195,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,medium,2026-05-02T03:00:20
REC00000158,INS00000158,USR000197,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,low,2026-03-09T12:00:20
REC00000159,INS00000159,USR000198,HEALTH_RESERVE,review_healthcare_coverage,Review healthcare coverage information.,low,2026-08-27T22:00:20
REC00000160,INS00000160,USR000200,HEALTH_RESERVE,review_healthcare_coverage,Review healthcare coverage information.,medium,2026-06-11T06:00:20
REC00000161,INS00000161,USR000203,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-09-14T12:00:20
REC00000162,INS00000162,USR000205,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,low,2026-08-06T04:00:20
REC00000163,INS00000163,USR000207,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,medium,2026-03-15T22:00:20
REC00000164,INS00000164,USR000208,MINDGUARD,review_sleep,Review recent sleep context and repeat monitoring when convenient.,low,2026-02-01T07:00:20
REC00000165,INS00000165,USR000210,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,low,2026-05-28T17:00:20
REC00000166,INS00000166,USR000212,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-09-14T12:00:20
REC00000167,INS00000167,USR000214,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-06-21T03:00:20
REC00000168,INS00000168,USR000215,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,medium,2026-09-14T12:00:20
REC00000169,INS00000169,USR000216,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,medium,2026-09-14T12:00:20
REC00000170,INS00000170,USR000217,MINDGUARD,wellbeing_checkin,Complete a wellbeing check-in to add context.,medium,2026-08-23T08:00:20
REC00000171,INS00000171,USR000218,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,low,2026-06-25T06:00:20
REC00000172,INS00000172,USR000219,MINDGUARD,wellbeing_checkin,Complete a wellbeing check-in to add context.,medium,2026-05-31T22:00:20
REC00000173,INS00000173,USR000219,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,medium,2026-05-04T01:00:20
REC00000174,INS00000174,USR000221,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,low,2026-01-21T08:00:20
REC00000175,INS00000175,USR000222,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,medium,2026-07-25T01:00:20
REC00000176,INS00000176,USR000223,MINDGUARD,maintain_monitoring,Continue routine monitoring.,low,2026-08-16T06:00:20
REC00000177,INS00000177,USR000224,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,low,2026-07-10T07:00:20
REC00000178,INS00000178,USR000226,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-09-14T12:00:20
REC00000179,INS00000179,USR000230,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,medium,2026-02-21T00:00:20
REC00000180,INS00000180,USR000232,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,low,2026-03-07T21:00:20
REC00000181,INS00000181,USR000233,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-08-19T15:00:20
REC00000182,INS00000182,USR000234,MINDGUARD,maintain_monitoring,Continue routine monitoring.,low,2026-09-14T12:00:20
REC00000183,INS00000183,USR000234,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,low,2026-06-19T06:00:20
REC00000184,INS00000184,USR000242,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,low,2026-07-07T15:00:20
REC00000185,INS00000185,USR000242,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,low,2026-07-04T17:00:20
REC00000186,INS00000186,USR000244,HEALTH_RESERVE,review_healthcare_coverage,Review healthcare coverage information.,medium,2026-07-12T09:00:20
REC00000187,INS00000187,USR000250,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,low,2026-04-21T18:00:20
REC00000188,INS00000188,USR000251,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,low,2026-08-25T17:00:20
REC00000189,INS00000189,USR000253,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-05-21T20:00:20
REC00000190,INS00000190,USR000254,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,medium,2026-01-21T17:00:20
REC00000191,INS00000191,USR000256,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,low,2026-01-04T23:00:20
REC00000192,INS00000192,USR000260,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,medium,2026-05-10T07:00:20
REC00000193,INS00000193,USR000261,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,medium,2026-08-01T04:00:20
REC00000194,INS00000194,USR000263,MINDGUARD,maintain_monitoring,Continue routine monitoring.,low,2026-07-14T04:00:20
REC00000195,INS00000195,USR000266,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,low,2026-09-14T12:00:20
REC00000196,INS00000196,USR000267,MINDGUARD,maintain_monitoring,Continue routine monitoring.,low,2026-08-06T06:00:20
REC00000197,INS00000197,USR000269,MINDGUARD,maintain_monitoring,Continue routine monitoring.,low,2026-06-24T23:00:20
REC00000198,INS00000198,USR000271,MINDGUARD,wellbeing_checkin,Complete a wellbeing check-in to add context.,medium,2026-09-14T12:00:20
REC00000199,INS00000199,USR000272,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-05-01T14:00:20
REC00000200,INS00000200,USR000274,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,low,2026-04-05T17:00:20
REC00000201,INS00000201,USR000275,HEALTH_RESERVE,review_healthcare_coverage,Review healthcare coverage information.,medium,2026-05-18T15:00:20
REC00000202,INS00000202,USR000276,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,low,2026-04-28T08:00:20
REC00000203,INS00000203,USR000277,MINDGUARD,wellbeing_checkin,Complete a wellbeing check-in to add context.,medium,2026-06-19T16:00:20
REC00000204,INS00000204,USR000278,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,low,2026-04-30T17:00:20
REC00000205,INS00000205,USR000280,HEALTH_RESERVE,review_preparedness_goal,Review the preparedness goal and current buffer.,low,2026-04-03T09:00:20
REC00000206,INS00000206,USR000281,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,medium,2026-01-14T16:00:20
REC00000207,INS00000207,USR000282,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,low,2026-05-16T00:00:20
REC00000208,INS00000208,USR000283,MINDGUARD,wellbeing_checkin,Complete a wellbeing check-in to add context.,medium,2026-09-14T12:00:20
REC00000209,INS00000209,USR000284,MINDGUARD,maintain_monitoring,Continue routine monitoring.,low,2026-02-27T17:00:20
REC00000210,INS00000210,USR000285,MINDGUARD,repeat_assessment,Repeat the assessment later to add another observation.,medium,2026-08-20T10:00:20
REC00000211,INS00000211,USR000286,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-09-14T12:00:20
REC00000212,INS00000212,USR000287,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-09-14T12:00:20
REC00000213,INS00000213,USR000289,MINDGUARD,maintain_monitoring,Continue routine monitoring.,medium,2026-04-04T08:00:20
